date,daily_RMSE_SEIR_TLGRF,daily_MAE_SEIR_TLGRF,daily_RMSE_SEIR_Fixed,daily_MAE_SEIR_Fixed,daily_RMSE_SEIR_tcv,daily_MAE_SEIR_tcv,daily_RMSE_TLGRF,daily_MAE_TLGRF
2020-04-01,0.29913108949336414,0.25294692164554583,0.20880519245724427,0.18597831795322908,0.20880519245724427,0.18597831795322908,0.4445483758839826,0.41685991074292755
2020-04-02,0.32424093030640255,0.27811259935419963,0.21025560704172766,0.1822091822322961,0.21025560704172766,0.1822091822322961,0.4330136528974372,0.40837088857818404
2020-04-03,0.3459013066876189,0.2996766955474922,0.21188587060108924,0.18160318923534577,0.21187516248947288,0.18145600367401418,0.4226531579476385,0.4014836147631638
2020-04-04,0.3414737208007525,0.2945603595838687,0.22061107165771884,0.19090191845045087,0.22067820646757735,0.19099780045233383,0.3938794026902081,0.37355443576841957
2020-04-05,0.3466438411183885,0.3008457265863939,0.21768907458926157,0.19557856734807286,0.21773455960521992,0.19567745582535936,0.3664433474272874,0.3526763804069827
2020-04-06,0.3617508616509987,0.2961396368595946,0.16875328807645287,0.15224069286489642,0.16879659389675492,0.15234153327707237,0.32993242719038623,0.30933676296479223
2020-04-07,0.36514415487536334,0.284076737477796,0.15791221829235944,0.14028574733253008,0.15794977651709768,0.14037809158847167,0.29446163732925734,0.2704329723038741
2020-04-08,0.34235193653052864,0.2527227562252118,0.15375189593605923,0.12776569244603492,0.1537689585971435,0.12740413014159713,0.24337286465339886,0.21609863757959147
2020-04-09,0.3419748551195074,0.261012694990249,0.14469999431192945,0.12447866478906297,0.14445592495731152,0.12411156893426523,0.22509285616755637,0.20151826449760102
2020-04-10,0.3629616170518437,0.2768878204924841,0.16290916045243742,0.14665223789580195,0.16253730448891685,0.14613376323671823,0.21391260573873452,0.1884745186050434
2020-04-11,0.3877487180770339,0.29016467144212066,0.1579879918974076,0.13306417430405884,0.157642643383591,0.13254872010215754,0.2228958341361152,0.18753506619715976
2020-04-12,0.4322309336089567,0.31420917907550056,0.17626137987092208,0.1457620644292756,0.17616544292033276,0.1452566525815867,0.25201729259210237,0.1960696015230314
2020-04-13,0.46142261900926457,0.3479936518636271,0.2010779373666026,0.17806988525905132,0.20098471128260728,0.17756570809962804,0.26099704419434805,0.21491116875551183
2020-04-14,0.47904522768375013,0.3645529967736222,0.22172063254688118,0.19672066363354893,0.2215941888084258,0.19622568728377648,0.2588818504721858,0.21197605863083213
2020-04-15,0.5142017399365126,0.39579872280987904,0.23522474422185682,0.2135669821513426,0.23501452146812252,0.21307010156746944,0.2779476677575552,0.2295778486412763
