"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.lm","t0.lm","predicted.lm","r.slm","t0.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","lm.mse","slm.mse","lm.mape","slm.mape"
1001,2021-02-04,380,"Autauga","Alabama",6.71278260463462,-0.0165293019512051,786.114101155084,6.59707749097619,0,379,6.71278260463462,2021-02-11,387,6.57964795869255,0.000303788595626332,0.017724833950121,0.00264900681511539,0.02023431143701
1003,2021-02-04,380,"Baldwin","Alabama",7.97349996402463,-0.0161089102868515,874.974509264775,7.86073759201667,0,379,7.97349996402463,2021-02-11,387,7.83042561782033,0.000918815779679516,0.0204702685417877,0.00387105065238798,0.0182715925273198
1005,2021-02-04,380,"Barbour","Alabama",5.71514623330651,-0.00890561311175021,1021.74652116493,5.65280694152426,0,379,5.71514623330651,2021-02-11,387,5.6534911843605,4.68188258942905e-07,0.00380134506053532,0.000121030141186169,0.0109056593413593
1007,2021-02-04,380,"Bibb","Alabama",5.55351314153691,-0.0585716679385859,474.815690537615,5.14351146596681,0,379,5.55351314153691,2021-02-11,387,5.29760282561017,0.0237441471167381,0.0654900897977266,0.0290869974053988,0.0483068142990259
1009,2021-02-04,380,"Blount","Alabama",6.49353769373607,-0.0090381506150604,1098.45867260895,6.43027063943065,0,379,6.49353769373607,2021-02-11,387,6.43248063948047,4.88410022019446e-06,0.00372796387437192,0.000343568861483001,0.00949199192001558
1011,2021-02-04,380,"Bullock","Alabama",4.90315613357815,-0.0136916304179412,738.113386346826,4.80731472065256,0,379,4.90315613357815,2021-02-11,387,4.92621795228367,0.0141379784923229,0.000531847482006622,0.0241368191141433,0.00468144506169012
1013,2021-02-04,380,"Butler","Alabama",5.26564658425849,-0.00662010508960308,1175.40226521906,5.21930584863127,0,379,5.26564658425849,2021-02-11,387,5.18017712424381,0.00153105707218946,0.00730502859520044,0.00755354951172013,0.0164993315797389
1015,2021-02-04,380,"Calhoun","Alabama",7.34950639527599,-0.0196441384152781,754.132285158404,7.21199742636904,0,379,7.34950639527599,2021-02-11,387,7.19518732017871,0.000282579670130226,0.0238143769388795,0.00233629861771467,0.0214475410062633
1017,2021-02-04,380,"Chambers","Alabama",6.33985527145902,-0.0334645181179898,569.45006914804,6.10560364463309,0,379,6.33985527145902,2021-02-11,387,6.08580022626673,0.000392175378993041,0.0645439659876552,0.00325403687766253,0.0417455446690097
1019,2021-02-04,380,"Cherokee","Alabama",5.13327424555436,-0.049311551070356,484.09881932593,4.78809338806187,0,379,5.13327424555436,2021-02-11,387,4.86753445045558,0.00631088239424243,0.070617638699139,0.0163205958175153,0.0545943326757355
