"date.x","days_from_start.x","county","state","fips","log_rolled_cases.x","r.lm","t0.lm","predicted.lm","r.slm","t0.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y"
2021-12-09,688,"Autauga","Alabama",1001,5.09637602288443,-0.0130266714000128,1079.22626697096,5.00518932308434,0,687,5.09637602288443,2021-12-16,695,NA
2021-12-09,688,"Baldwin","Alabama",1003,5.89085463420875,-0.0172283039601763,1029.92887749285,5.77025650648752,0,687,5.89085463420875,2021-12-16,695,NA
2021-12-09,688,"Barbour","Alabama",1005,4.14539973302238,-0.0420881609189502,786.493249467593,3.85078260658973,0,687,4.14539973302238,2021-12-16,695,NA
2021-12-09,688,"Bibb","Alabama",1007,3.84710345932883,1.88411095042051e-15,-2041866726834160,3.84710345932884,0,687,3.84710345932883,2021-12-16,695,NA
2021-12-09,688,"Blount","Alabama",1009,5.57269706775994,0.0280778147545431,489.526681599811,5.76924177104174,0.0280778147545391,489.526681599783,5.76924177104171,2021-12-16,695,NA
2021-12-09,688,"Butler","Alabama",1013,4.04054185622913,-0.00501254182354472,1494.08641253626,4.00545406346431,0,687,4.04054185622913,2021-12-16,695,NA
2021-12-09,688,"Calhoun","Alabama",1015,5.19454289404584,-0.0718414253991852,760.305676915268,4.69165291625155,0,687,5.19454289404584,2021-12-16,695,NA
2021-12-09,688,"Cherokee","Alabama",1019,4.51085950651685,0.00314465667947146,-746.452140980621,4.53287210327315,0.0031446566794715,-746.452140980603,4.53287210327315,2021-12-16,695,NA
2021-12-09,688,"Chilton","Alabama",1021,5.20714148588217,-0.00701757265864637,1430.01461661625,5.15801847727164,0,687,5.20714148588217,2021-12-16,695,NA
2021-12-09,688,"Choctaw","Alabama",1023,3.30111392310517,0.0540672212702755,626.944265202695,3.6795844719971,0.0540672212702749,626.944265202694,3.6795844719971,2021-12-16,695,NA
2021-12-09,688,"Clarke","Alabama",1025,3.63758615972639,-0.00749067172915989,1173.6154816618,3.58515145762227,0,687,3.63758615972639,2021-12-16,695,NA
2021-12-09,688,"Clay","Alabama",1027,3.56751859710967,0.0040404095370039,-194.959651598858,3.5958014638687,0.00404040953700369,-194.959651598905,3.59580146386869,2021-12-16,695,NA
2021-12-09,688,"Cleburne","Alabama",1029,3.42472787907235,-0.0320393537446165,794.89129082848,3.20045240286003,0,687,3.42472787907235,2021-12-16,695,NA
2021-12-09,688,"Coffee","Alabama",1031,4.32507828280299,0.00949674753725791,232.572679663778,4.39155551556379,0.00949674753725738,232.572679663752,4.39155551556379,2021-12-16,695,NA
2021-12-09,688,"Colbert","Alabama",1033,4.99817705917421,-0.0115054001667748,1122.42009723468,4.91763925800679,0,687,4.99817705917421,2021-12-16,695,NA
2021-12-09,688,"Conecuh","Alabama",1035,3.20738144544246,-0.011494379425735,967.039113521987,3.12692078946232,0,687,3.20738144544246,2021-12-16,695,NA
2021-12-09,688,"Coosa","Alabama",1037,3.4106761256167,0.0835867161082652,647.195954998411,3.99578313837456,0.0835867161082646,647.195954998411,3.99578313837455,2021-12-16,695,NA
2021-12-09,688,"Covington","Alabama",1039,4.85870437100731,-0.0370009564149681,819.312940036377,4.59969767610253,0,687,4.85870437100731,2021-12-16,695,NA
2021-12-09,688,"Crenshaw","Alabama",1041,4.02023659006838,-0.0127390257774284,1003.58430450715,3.93106340962638,0,687,4.02023659006838,2021-12-16,695,NA
2021-12-09,688,"Cullman","Alabama",1043,5.61625148217034,0.00730311018497635,-81.0218742315917,5.66737325346517,0.00730311018497609,-81.021874231619,5.66737325346517,2021-12-16,695,NA
2021-12-09,688,"Dale","Alabama",1045,4.08717607274349,0.00240096153753948,-1014.3080165341,4.10398280350627,0.0024009615375391,-1014.30801653436,4.10398280350626,2021-12-16,695,NA
2021-12-09,688,"Dallas","Alabama",1047,3.7744016275521,-0.00978800636616114,1073.61495429763,3.70588558298897,0,687,3.7744016275521,2021-12-16,695,NA
2021-12-09,688,"DeKalb","Alabama",1049,5.66790853575331,0.0184314059546577,380.486370833744,5.79692837743592,0.0184314059546553,380.486370833705,5.7969283774359,2021-12-16,695,NA
2021-12-09,688,"Elmore","Alabama",1051,4.93652732194253,-0.142211559455816,722.712560222478,3.94104640575182,0,687,4.93652732194253,2021-12-16,695,NA
2021-12-09,688,"Escambia","Alabama",1053,4.00473240353241,-0.048294009358954,770.92399940884,3.66667433801974,0,687,4.00473240353241,2021-12-16,695,NA
2021-12-09,688,"Etowah","Alabama",1055,4.72358794080257,0.0601488466905018,609.468353913617,5.14462986763608,0.0601488466905025,609.468353913618,5.14462986763609,2021-12-16,695,NA
2021-12-09,688,"Fayette","Alabama",1057,4.67149282891917,-0.080865076140934,745.768978301307,4.10543729593263,0,687,4.67149282891917,2021-12-16,695,NA
2021-12-09,688,"Franklin","Alabama",1059,5.05168583392661,-0.00637815374075398,1480.02948678522,5.00703875774133,0,687,5.05168583392661,2021-12-16,695,NA
2021-12-09,688,"Geneva","Alabama",1061,3.72741311811618,0.0138410514118715,418.698701478764,3.82430047799928,0.0138410514118719,418.698701478771,3.82430047799928,2021-12-16,695,NA
2021-12-09,688,"Hale","Alabama",1065,3.78093759853188,0.0500939453189168,612.523062129345,4.1315952157643,0.0500939453189164,612.523062129344,4.1315952157643,2021-12-16,695,NA
2021-12-09,688,"Henry","Alabama",1067,3.59535339610311,0.0039292781398885,-227.016262046834,3.62285834308233,0.00392927813988875,-227.016262046776,3.62285834308233,2021-12-16,695,NA
2021-12-09,688,"Houston","Alabama",1069,5.09724976693303,0.00701142223780916,-38.9922697631961,5.14632972259769,0.00701142223780948,-38.9922697631626,5.1463297225977,2021-12-16,695,NA
2021-12-09,688,"Jackson","Alabama",1071,4.52178857704904,0.0674412807955328,620.95221378197,4.99387754261777,0.0674412807955331,620.95221378197,4.99387754261777,2021-12-16,695,NA
2021-12-09,688,"Jefferson","Alabama",1073,6.2601276137235,-0.0024539889615705,3239.00072239818,6.24294969099251,0,687,6.2601276137235,2021-12-16,695,NA
2021-12-09,688,"Lamar","Alabama",1075,4.5013957134859,-0.0777237953022484,745.915284450291,3.95732914637016,0,687,4.5013957134859,2021-12-16,695,NA
2021-12-09,688,"Lauderdale","Alabama",1077,5.62659283596507,0.0271132354085645,480.478000091876,5.81638548382502,0.0271132354085628,480.478000091863,5.81638548382501,2021-12-16,695,NA
2021-12-09,688,"Lawrence","Alabama",1079,4.91580119142541,-0.012487154972565,1081.66863006231,4.82839110661746,0,687,4.91580119142541,2021-12-16,695,NA
2021-12-09,688,"Lee","Alabama",1081,5.61936513284362,0.005194816877106,-393.725355442007,5.65572885098336,0.00519481687710588,-393.725355442031,5.65572885098336,2021-12-16,695,NA
2021-12-09,688,"Limestone","Alabama",1083,5.32300997913841,-0.0295249733144312,868.288392556705,5.11633516593739,0,687,5.32300997913841,2021-12-16,695,NA
2021-12-09,688,"Macon","Alabama",1087,3.34235688163922,0.0465200156348932,616.1522837853,3.66799699108347,0.0465200156348931,616.1522837853,3.66799699108347,2021-12-16,695,NA
2021-12-09,688,"Madison","Alabama",1089,6.42417417732271,0.0404262588086361,529.089075105057,6.70715798898317,0.0404262588086306,529.089075105035,6.70715798898313,2021-12-16,695,NA
2021-12-09,688,"Marion","Alabama",1093,4.47733681447821,0.00651468102119402,0.731229677674096,4.52293958162656,0.00651468102119424,0.731229677697051,4.52293958162657,2021-12-16,695,NA
2021-12-09,688,"Marshall","Alabama",1095,5.03416579150645,0.0283037761628569,510.138015700081,5.23229222464645,0.0283037761628568,510.138015700081,5.23229222464645,2021-12-16,695,NA
2021-12-09,688,"Mobile","Alabama",1097,6.54596523437663,-0.000820176383890504,8669.16766460144,6.5402239996894,0,687,6.54596523437663,2021-12-16,695,NA
2021-12-09,688,"Monroe","Alabama",1099,3.57555076880693,-0.00796816964917633,1136.72924727155,3.5197735812627,0,687,3.57555076880693,2021-12-16,695,NA
