fips,county_x,state_x,date.x,tau.hat,log_rolled_cases,shifted_log_rolled_cases,rolled_cases,shifted_rolled_cases,predictor,delta cases,capacity,rank_unfiltered,changepoint,outbreak,rank_filtered,delta_ranked
8031.0,Denver,Colorado,2020-03-18,0.253478184788963,3.306363278991317,4.857595108553027,27.285714285714295,128.714285714286,6.916333327813136,101.42857142857171,1.0,1.0,0.0,0.0,1.0,1.0
8037.0,Eagle,Colorado,2020-03-18,0.246840098163263,3.2358734012367707,4.406719247264253,25.4285714285714,82.00000000000001,6.276791067580109,56.57142857142861,1.0,2.0,0.0,0.0,2.0,2.0
8031.0,Denver,Colorado,2020-03-19,0.267161176035469,3.547151294285235,5.058971840657544,34.7142857142857,157.42857142857105,9.274309396659849,122.71428571428535,1.0,1.0,0.0,0.0,1.0,1.0
8037.0,Eagle,Colorado,2020-03-19,0.253065140709008,3.4385849137337745,4.561367563329698,31.142857142857107,95.7142857142857,7.881171524937668,64.57142857142858,1.0,2.0,0.0,0.0,2.0,2.0
8031.0,Denver,Colorado,2020-03-20,0.25097517037051,3.774401627552099,5.250776421779039,43.5714285714286,190.71428571428623,10.935346709000799,147.14285714285762,1.0,1.0,0.0,0.0,1.0,1.0
8037.0,Eagle,Colorado,2020-03-20,0.231630481479634,3.626243883122452,4.712100896815432,37.571428571428605,111.28571428571396,8.702688089877686,73.71428571428535,1.0,2.0,0.0,0.0,2.0,2.0
8031.0,Denver,Colorado,2020-03-23,0.228446793176709,4.446006964337289,5.749392985908253,85.28571428571429,313.99999999999994,19.48324793235647,228.71428571428567,2.0,1.0,0.0,0.0,1.0,1.0
8037.0,Eagle,Colorado,2020-03-23,0.198124707933019,4.120197941048435,5.068005325755215,61.57142857142859,158.85714285714297,12.19882130273303,97.28571428571439,2.0,2.0,0.0,0.0,2.0,4.0
8041.0,El Paso,Colorado,2020-03-23,0.270249748225631,3.4153820166541107,5.114566216944485,30.428571428571395,166.42857142857108,8.22331376743705,135.9999999999997,2.0,3.0,0.0,0.0,3.0,2.0
8059.0,Jefferson,Colorado,2020-03-23,0.201593536807828,3.6300389540910025,5.056245805348308,37.7142857142857,156.99999999999994,7.602956245323796,119.28571428571425,2.0,4.0,1.0,1.0,4.0,3.0
