Setting name,Date Resolved,County,Date Reported,Total cases,Total deaths,fips
Laredo Elementary School,2021-11-02,Arapahoe,2021-10-01,15,0,8005
Highland Elementary School: September 2021,2021-11-08,Arapahoe,2021-10-04,5,0,8005
Creative Learning Academy - Pagosa Way,2021-10-31,Arapahoe,2021-10-06,7,0,8005
Lois Lenski Elementary School: October 2021,2021-10-28,Arapahoe,2021-10-06,5,0,8005
Orchard Valley Learning Center: September 2021,2022-02-17,Arapahoe,2021-10-06,5,0,8005
University Heights Rehab and Care Community (020447): October 2021,2021-11-22,Arapahoe,2021-10-06,13,0,8005
Caley (06H512): September 2021,2021-10-16,Arapahoe,2021-10-07,3,0,8005
Primrose School of Saddle Rock: September 2021,2021-11-04,Arapahoe,2021-10-07,7,0,8005
Willow Creek Elementary School: October 2021,2021-11-11,Arapahoe,2021-10-08,20,0,8005
Delaware (06H430): September 2021,2021-10-16,Arapahoe,2021-10-11,3,0,8005
Arkansas Elementary School,2021-11-04,Arapahoe,2021-10-12,6,0,8005
Cherrelyn Healthcare Center (020428): October 2021,2021-11-09,Arapahoe,2021-10-12,54,7,8005
The Gardens at Columbine (2304QP): September 2021,2021-10-15,Arapahoe,2021-10-12,3,0,8005
Jamaica Child Development Center,2021-11-09,Arapahoe,2021-10-13,5,0,8005
Julia Temple Healthcare Center (020418): September 2021,2021-10-25,Arapahoe,2021-10-13,3,1,8005
"Lighthouse Assisted Living, Inc - Irwin House (23R935): October 2021",2021-11-19,Arapahoe,2021-10-14,6,2,8005
St Andrews Village- Independent Living: October 2021,2021-11-08,Arapahoe,2021-10-14,12,2,8005
Sunrise at Orchard (2304NM): October 2021,2021-11-16,Arapahoe,2021-10-14,17,0,8005
Aurora Public Schools Educational Services Center 1: October 2021,2021-11-17,Arapahoe,2021-10-19,8,0,8005
Englewood Post Acute and Rehabilitation (020481): October 2021,2021-11-19,Arapahoe,2021-10-19,37,0,8005
Life Care Center of Aurora (0204F6): October 2021,2021-11-01,Arapahoe,2021-10-19,3,0,8005
Colpar's HobbyTown- Aurora,2021-11-12,Arapahoe,2021-10-21,5,0,8005
Shalom Park (0204NU): October 2021,2022-03-05,Arapahoe,2021-10-21,137,1,8005
St. Mary's Academy: October 2021,2021-11-12,Arapahoe,2021-10-22,5,0,8005
Ashley Manor at Carson (2304PG): October 2021,2021-11-19,Arapahoe,2021-10-28,2,0,8005
RTD East Metro Division: October 2021,2022-03-29,Arapahoe,2021-10-28,99,0,8005
Grandview High School ,2021-11-03,Arapahoe,2021-10-29,6,0,8005
Someren Glen Assisted Living (2304VQ): October 2021,2021-11-15,Arapahoe,2021-10-29,2,0,8005
Dr. Justina Ford Elementary School,2021-12-27,Arapahoe,2021-11-01,49,0,8005
South Metro Housing Options,2021-11-15,Arapahoe,2021-11-01,5,0,8005
Academy of Advanced Learning,2021-11-10,Arapahoe,2021-11-02,5,0,8005
Littleton Public Schools Education Services Center: October 2021,2021-11-26,Arapahoe,2021-11-02,5,0,8005
Primrose School of Littleton,2021-12-07,Arapahoe,2021-11-02,17,0,8005
Willows Child Learning Center - Willows/Arapaho-Hills,2021-11-19,Arapahoe,2021-11-02,16,0,8005
Advanced Health Care of Aurora (02D982): October 2021,2021-11-23,Arapahoe,2021-11-04,23,0,8005
Aish of the Rockies,2021-11-30,Arapahoe,2021-11-04,10,0,8005
Juniper Village at Aurora (2304S1): October 2021,2021-12-13,Arapahoe,2021-11-04,5,0,8005
Lighthouse Assisted Living - Emporia House (2304O6): October 2021,2021-11-16,Arapahoe,2021-11-04,3,0,8005
Newton Middle School: October 2021,2022-01-15,Arapahoe,2021-11-04,7,0,8005
The Suites at Someren Glen Care Center (020471): October 2021,2021-11-09,Arapahoe,2021-11-04,5,0,8005
Euclid Middle School: October 2021,2021-12-10,Arapahoe,2021-11-05,9,0,8005
Lowry Hills Care and Rehabilitation (020426): October 2021,2022-03-14,Arapahoe,2021-11-05,81,0,8005
Bailey's Moving and Storage,2021-11-19,Arapahoe,2021-11-08,8,0,8005
CEVA Logistics,2021-12-10,Arapahoe,2021-11-08,11,0,8005
Sandburg Elementary School ,2021-12-25,Arapahoe,2021-11-08,15,0,8005
SCRAM Systems,2021-11-26,Arapahoe,2021-11-08,10,0,8005
Aurora Quest K-8: October 2021,2021-12-06,Arapahoe,2021-11-09,5,0,8005
Colorado Center for the Blind,2021-12-01,Arapahoe,2021-11-09,16,0,8005
Edna and John W Mosley P-8 School: October 2021,2021-12-01,Arapahoe,2021-11-09,7,0,8005
Abbey Road Assisted Living - Ulster (23R558),2021-11-11,Arapahoe,2021-11-10,2,0,8005
Aurora Academy Charter School,2021-12-07,Arapahoe,2021-11-10,7,0,8005
Aurora Expeditionary Learning Academy (AXL): November 2021,2021-12-04,Arapahoe,2021-11-10,5,0,8005
Elevation Health and Rehabilitation Center (020431): November 2021,2021-11-11,Arapahoe,2021-11-10,5,0,8005
Life Care Center of Littleton (0204RB): October 2021,2021-12-13,Arapahoe,2021-11-10,8,1,8005
Caley Ridge Assisted Living Community (230487): November 2021,2021-12-05,Arapahoe,2021-11-12,6,0,8005
Frontier Valley Independent And Assisted Living (2304B1): November 2021,2021-11-22,Arapahoe,2021-11-12,4,0,8005
Tollgate Elementary School of Expeditionary Learning,2021-12-09,Arapahoe,2021-11-12,10,0,8005
St Andrews Village (23G126): November 2021,2021-11-18,Arapahoe,2021-11-15,2,0,8005
Littleton Academy Charter School: November 2021,2021-12-07,Arapahoe,2021-11-16,5,0,8005
Fox Ridge Middle School: November 2021,2021-12-07,Arapahoe,2021-11-17,6,0,8005
Life Care Center of Aurora (0204F6): November 2021,2021-12-10,Arapahoe,2021-11-17,16,0,8005
Our Lady of Loreto Catholic School: November 2021,2021-12-20,Arapahoe,2021-11-17,8,0,8005
Avalon School of Cosmetology: November 2021,2021-12-06,Arapahoe,2021-11-18,7,0,8005
Lansing Elementary School,2022-01-11,Arapahoe,2021-11-18,13,0,8005
Libby Bortz Assisted Living Center (2304GF): November 2021,2021-12-01,Arapahoe,2021-11-19,4,0,8005
Littleton Care and Rehabilitation Center (020462): November 2021,2022-01-03,Arapahoe,2021-11-19,15,1,8005
Nora Personal Care Assisted Living LLC (23R196): November 2021,2021-11-23,Arapahoe,2021-11-19,4,0,8005
Orchard Park Health Care Center (020468): November 2021,2022-03-10,Arapahoe,2021-11-19,43,3,8005
Summit Rehabilitation and Care Community (020407): November 2021,2021-12-03,Arapahoe,2021-11-19,9,0,8005
Wear Parts and Equipment Co. Inc. ,2021-12-15,Arapahoe,2021-11-19,11,0,8005
Little Sunshine's Playhouse and Preschool of Littleton,2021-12-16,Arapahoe,2021-11-22,9,0,8005
Antelope Ridge Elementary School,2021-12-12,Arapahoe,2021-11-23,5,0,8005
Assisted Living of Aurora (23D453): November 2021,2021-12-03,Arapahoe,2021-11-24,8,0,8005
Rising Star Early Learning Center: November 2021,2022-01-03,Arapahoe,2021-11-29,8,0,8005
The Joshua School: November 2021,2022-01-28,Arapahoe,2021-11-29,5,0,8005
Equipment Share,2021-12-25,Arapahoe,2021-11-30,6,1,8005
Family Tree GOALS,2021-12-26,Arapahoe,2021-11-30,12,0,8005
Bright Beginnings Learning Center: December 2021,2021-12-28,Arapahoe,2021-12-01,7,0,8005
Garden Plaza of Aurora (23O623): November 2021,2021-12-06,Arapahoe,2021-12-01,2,0,8005
Heritage High School: November 2021,2021-12-24,Arapahoe,2021-12-01,5,0,8005
Garden Terrace Alzheimer's Center Of Excellence (020469): November 2021,2022-02-21,Arapahoe,2021-12-02,3,0,8005
Advanced Regenerative Health,2021-12-21,Arapahoe,2021-12-08,5,0,8005
Cherry Creek Retirement Village (2304E5): November 2021,2021-12-03,Arapahoe,2021-12-08,2,0,8005
Merryhill Preschool - Aurora: December 2021,2022-03-02,Arapahoe,2021-12-08,38,0,8005
Cherry Creek Nursing Center (020408): December 2021,2022-03-21,Arapahoe,2021-12-09,128,2,8005
Rocky Mountain Assisted Living - Euclid (23O244): December 2021,2022-02-08,Arapahoe,2021-12-09,8,0,8005
The Suites at Someren Glen Care Center (020471): November 2021,2021-12-02,Arapahoe,2021-12-09,3,0,8005
A Plus Learning Center,2022-01-10,Arapahoe,2021-12-10,7,0,8005
Brookdale Greenwood Village Assisted Living (2304MV): December 2021 #1,2021-12-16,Arapahoe,2021-12-13,5,0,8005
Peakview Assisted Living and Memory Care (23F490): November 2021	,2022-02-03,Arapahoe,2021-12-13,90,1,8005
Broadview Animal Clinic,2022-02-14,Arapahoe,2021-12-14,14,0,8005
Brookdale Greenwood Village (0204W6): December 2021,2022-03-14,Arapahoe,2021-12-14,77,0,8005
Julia Temple Healthcare Center (020418): December 2021,2022-02-24,Arapahoe,2021-12-14,151,1,8005
LONG Building Technologies,2021-12-22,Arapahoe,2021-12-14,14,0,8005
The Goddard School of Aurora South,2022-02-07,Arapahoe,2021-12-16,6,0,8005
Montage Hills (0204T9): December 2021,2022-02-14,Arapahoe,2021-12-20,32,0,8005
The Suites at Someren Glen Care Center (020471): December 2021,2022-03-17,Arapahoe,2021-12-21,64,0,8005
Callan Rose Early Learning Center,2022-01-19,Arapahoe,2021-12-22,14,0,8005
Danny Cash Hot Sauce,2022-01-09,Arapahoe,2021-12-22,6,0,8005
Project Helping,2022-01-19,Arapahoe,2021-12-22,7,0,8005
A2Z Sync,2022-01-17,Arapahoe,2021-12-23,8,0,8005
Colorado Spirit Adult Day Care,2022-03-05,Arapahoe,2021-12-27,9,0,8005
Juniper Village at Aurora (2304S1): December 2021,2022-03-10,Arapahoe,2021-12-27,42,0,8005
Someren Glen Assisted Living (2304VQ): December 2021,2022-02-15,Arapahoe,2021-12-27,40,0,8005
Atria Englewood (23V342): December 2021,2022-02-15,Arapahoe,2021-12-28,30,0,8005
Lotus School of Excellence,2022-02-14,Arapahoe,2021-12-28,5,0,8005
St Andrews Village-LTC (02O244): December 2021,2022-02-07,Arapahoe,2021-12-28,6,0,8005
Cherry Creek Retirement Village (2304E5): December 2021,2022-02-07,Arapahoe,2022-01-03,23,0,8005
Cherry Hills Assisted Living and Memory Care (23K182): December 2021,2022-02-14,Arapahoe,2022-01-03,27,0,8005
Five Star Residences of Dayton Place (2304D3): December 2021,2022-02-03,Arapahoe,2022-01-03,20,0,8005
Frontier Valley Independent And Assisted Living (2304B1): December 2021,2022-03-08,Arapahoe,2022-01-03,45,0,8005
Life Care Center of Aurora (0204F6): December 2021,2022-02-25,Arapahoe,2022-01-03,95,1,8005
Life Care Center of Littleton (0204RB): December 2021,2022-03-02,Arapahoe,2022-01-03,50,0,8005
Rocky Mountain Assisted Living - Milwaukee (23W277): December 2021,2022-02-11,Arapahoe,2022-01-03,2,0,8005
Cherrelyn Healthcare Center (020428): December 2021,2022-03-08,Arapahoe,2022-01-04,57,3,8005
The Gardens at Columbine (2304QP): December 2021,2022-02-14,Arapahoe,2022-01-04,10,0,8005
The Suites at Holly Creek Assisted Living (23Y389): December 2021,2022-02-22,Arapahoe,2022-01-04,37,0,8005
Cinemark #428,2022-02-26,Arapahoe,2022-01-05,12,0,8005
La Petite Academy- Greenwood Village,2022-01-30,Arapahoe,2022-01-05,9,0,8005
Meadow Hills Makarios Assisted Living (23C491): January 2022,2022-01-20,Arapahoe,2022-01-05,2,0,8005
MorningStar at Jordan (23E528): December 2021,2022-02-15,Arapahoe,2022-01-05,11,0,8005
Target - Aurora West,2022-03-14,Arapahoe,2022-01-05,19,0,8005
Ashley Manor at Carson (2304PG): January 2022,2022-02-04,Arapahoe,2022-01-06,9,0,8005
Breckenridge Brewery,2022-03-09,Arapahoe,2022-01-06,22,0,8005
Chateau Des Mons Care and Assisted Living (230411): January 2022,2022-01-31,Arapahoe,2022-01-06,33,1,8005
Costco Wholesale #439: January 2022,2022-04-04,Arapahoe,2022-01-06,60,0,8005
Farmhouse at Breckenridge Brewery,2022-03-15,Arapahoe,2022-01-06,8,0,8005
St Andrews Village (23G126): December 2021,2022-03-08,Arapahoe,2022-01-06,27,0,8005
Cadence Aurora (23048J): December 2021,2022-02-18,Arapahoe,2022-01-07,14,0,8005
Garden Plaza of Aurora (23O623): December 2021,2022-02-03,Arapahoe,2022-01-07,21,0,8005
Libby Bortz Assisted Living Center (2304GF): December 2021,2022-02-07,Arapahoe,2022-01-07,5,0,8005
Montage Heights (23H133): December 2021,2022-02-04,Arapahoe,2022-01-07,21,0,8005
SLP Colorado Wellington (23I970),2022-01-15,Arapahoe,2022-01-07,3,0,8005
Denver Broncos: December 2021,2022-02-11,Arapahoe,2022-01-10,13,0,8005
Advanced Health Care of Aurora (02D982): January 2022,2022-02-04,Arapahoe,2022-01-11,34,0,8005
Belleview Heights Alzheimer's Special Care (23R712): January 2022,2022-02-04,Arapahoe,2022-01-11,11,0,8005
Highline Place (23L199): January 2022,2022-02-28,Arapahoe,2022-01-11,55,3,8005
Holly Creek- Independent Living: December 2021,2022-03-18,Arapahoe,2022-01-11,21,0,8005
Mental Health Center of Denver - Beeler House (2304H4): January 2022,2022-01-27,Arapahoe,2022-01-11,6,0,8005
The Manor on Marion Circle (2304C8),2022-01-21,Arapahoe,2022-01-11,6,0,8005
Angelo's Taverna,2022-01-29,Arapahoe,2022-01-12,9,0,8005
Brookdale Meridian Englewood (23N600): December 2021,2022-02-01,Arapahoe,2022-01-12,17,0,8005
H & H Early Learning Center,2022-02-28,Arapahoe,2022-01-12,22,0,8005
Inn at Greenwood Village (23Q648): December 2021,2022-02-11,Arapahoe,2022-01-12,20,0,8005
Littleton Care and Rehabilitation Center (020462): January 2022,2022-01-28,Arapahoe,2022-01-12,3,0,8005
Modena Cherry Creek (23P249): December 2021,2022-03-03,Arapahoe,2022-01-12,69,0,8005
Ponderosa (050440): January 2022,2022-02-10,Arapahoe,2022-01-12,7,0,8005
Renew Saddle Rock (23L575): December 2021,2022-02-09,Arapahoe,2022-01-12,14,0,8005
The Home Depot #1501: January 2022,2022-02-22,Arapahoe,2022-01-12,12,0,8005
The Home Depot #1519,2022-03-09,Arapahoe,2022-01-12,14,0,8005
The Home Depot #1523,2022-02-22,Arapahoe,2022-01-12,14,0,8005
The Home Depot #1526: January 2022,2022-03-14,Arapahoe,2022-01-12,13,0,8005
Cochlear Americas,2022-03-04,Arapahoe,2022-01-13,16,0,8005
Community Intersections - Aurora: December 2021,2022-02-02,Arapahoe,2022-01-13,7,0,8005
Dish Network- Littleton: December 2021,2022-02-17,Arapahoe,2022-01-13,7,0,8005
Elevation Health and Rehabilitation Center (020431): January 2022,2022-01-31,Arapahoe,2022-01-13,5,0,8005
St Andrews Village- Independent Living: December 2021,2022-02-09,Arapahoe,2022-01-13,27,0,8005
The Village Assisted Living LLC (23H572),2022-01-27,Arapahoe,2022-01-13,2,0,8005
University Heights Rehab and Care Community (020447): January 2022,2022-02-17,Arapahoe,2022-01-13,95,1,8005
Aurora Quest K-8: January 2022,2022-02-09,Arapahoe,2022-01-14,5,0,8005
Chelsea Place (23N217): December 2021,2022-02-07,Arapahoe,2022-01-14,43,2,8005
Lima House (05P633),2022-02-10,Arapahoe,2022-01-14,3,0,8005
Summit Rehabilitation and Care Community (020407): January 2022,2022-02-14,Arapahoe,2022-01-14,46,0,8005
World Data Solutions,2022-02-11,Arapahoe,2022-01-17,8,0,8005
Empire Beauty School - Aurora: December 2021,2022-02-09,Arapahoe,2022-01-18,7,0,8005
Abbey Road Assisted Living - Newport (2304AW): January 2022,2022-01-27,Arapahoe,2022-01-19,4,0,8005
South Washington (0504JO),2022-01-17,Arapahoe,2022-01-19,8,0,8005
The Home Depot #1528,2022-03-15,Arapahoe,2022-01-19,9,0,8005
Brookdale Greenwood Village Assisted Living (2304MV): December 2021 #2,2022-02-07,Arapahoe,2022-01-20,21,0,8005
Cardan Manor Assisted Living II (23Q273): January 2022,2022-01-24,Arapahoe,2022-01-20,2,0,8005
Centennial Montessori: January 2022,2022-02-24,Arapahoe,2022-01-20,6,0,8005
Englewood Post Acute and Rehabilitation (020481): December 2021,2022-02-25,Arapahoe,2022-01-20,32,0,8005
Heritage Heights Academy: January 2022,2022-03-02,Arapahoe,2022-01-20,9,0,8005
Hinkley High School: January 2022,2022-02-10,Arapahoe,2022-01-20,5,0,8005
Serenity House Assisted Living VI (23I144): January 2022,2022-02-01,Arapahoe,2022-01-20,8,1,8005
St Bernadette Assisted Living (23Q703),2022-01-28,Arapahoe,2022-01-20,9,0,8005
Adventure Town Childcare,2022-02-20,Arapahoe,2022-01-24,11,0,8005
Platt College - NSG 386 Classroom,2022-02-12,Arapahoe,2022-01-24,5,0,8005
Abundant Blessings and Care Assisted Living- Eastman (23H561): January 2022,2022-02-17,Arapahoe,2022-01-25,8,0,8005
Abundant Blessings and Care Assisted Living- Lincoln (23T700): January 2022,2022-02-01,Arapahoe,2022-01-25,2,0,8005
Corey Electrical Engineering Inc,2022-02-22,Arapahoe,2022-01-25,8,0,8005
Edna and John W Mosley P-8 School: January 2022,2022-02-17,Arapahoe,2022-01-25,5,0,8005
Primrose School of Saddle Rock: January 2022,2022-03-08,Arapahoe,2022-01-25,16,0,8005
The Home Depot #1509: January 2022,2022-03-01,Arapahoe,2022-01-25,9,0,8005
Golden Orchard I (2304CL): January 2022,2022-01-31,Arapahoe,2022-01-26,5,0,8005
Golden Orchard II (2304U9): January 2022,2022-01-24,Arapahoe,2022-01-26,6,0,8005
Trader Joe's #303: January 2022,2022-02-22,Arapahoe,2022-01-26,12,0,8005
Wellington (06O875): December 2021,2022-01-25,Arapahoe,2022-01-26,4,0,8005
Arrowhead Elementary School,2022-02-14,Arapahoe,2022-01-27,6,0,8005
Holy Trinity Lutheran Preschool,2022-03-15,Arapahoe,2022-01-27,15,0,8005
South Fellowship Early Learning Center: January 2022,2022-02-22,Arapahoe,2022-01-27,10,0,8005
Kenton Elementary School,2022-02-24,Arapahoe,2022-02-01,5,0,8005
Stonecreek of Littleton (23N524): December 2021,2022-02-08,Arapahoe,2022-02-01,8,0,8005
Sunrise at Orchard (2304NM): December 2021,2022-02-21,Arapahoe,2022-02-01,31,0,8005
AboutSkin Dermatology - Greenwood Village office,2022-02-02,Arapahoe,2022-02-02,7,0,8005
Rocky Mountain Assisted Living - Glencoe (23A463): January 2022,2022-02-23,Arapahoe,2022-02-02,3,0,8005
Ash House (05K174): January 2022,2022-02-03,Arapahoe,2022-02-03,3,0,8005
Flourish Supportive Living at Floyd (23Z309): January 2022,2022-02-11,Arapahoe,2022-02-03,10,0,8005
Masters Touch Homes (2304L5): January 2022,2022-02-16,Arapahoe,2022-02-03,9,0,8005
Serenity House Assisted Living Hunters Hill (23G942): January 2022,2022-02-04,Arapahoe,2022-02-03,11,1,8005
Serenity House Assisted Living VIII (23N230): January 2022,2022-02-04,Arapahoe,2022-02-03,2,0,8005
East Orchard Manor Cares (23V259),2022-02-10,Arapahoe,2022-02-07,10,0,8005
Rocky Mountain Cancer Center- Aurora ,2022-02-10,Arapahoe,2022-02-08,6,0,8005
Cherry Creek Retirement Village Independent Living,2022-03-04,Arapahoe,2022-02-10,61,0,8005
Millbrook Homes (2304UX): January 2022,2022-02-18,Arapahoe,2022-02-10,3,0,8005
Assured Assisted Living 9 (23V725): January 2022,2022-04-13,Arapahoe,2022-02-11,4,0,8005
Clermont Assisted Living (23J795),2022-01-31,Arapahoe,2022-02-11,13,0,8005
Brookdale Meridian Englewood,2022-03-08,Arapahoe,2022-02-16,12,0,8005
Peakview Assisted Living and Memory Care (23F490): February 2022,2022-02-24,Arapahoe,2022-02-23,3,0,8005
Caley Ridge Assisted Living Community (230487): February 2022,2022-03-14,Arapahoe,2022-02-24,31,0,8005
Serenity House Assisted Living Hinsdale (23N222),2022-03-03,Arapahoe,2022-02-24,9,0,8005
Serenity House Assisted Living II (23048A),2022-02-01,Arapahoe,2022-02-24,2,0,8005
Serenity House Assisted Living- Kit Carson (23S213): February 2022,2022-03-03,Arapahoe,2022-02-24,10,0,8005
Advanced Health Care of Aurora (02D982): February 2022,2022-03-24,Arapahoe,2022-03-01,5,0,8005
The Gardens Care Homes - Meadow Hills (23H518): January 2022,2022-02-01,Arapahoe,2022-03-04,2,0,8005
Gabriel Assisted Living (23L573),2022-02-01,Arapahoe,2022-03-09,2,0,8005
Someren Glen Assisted Living (2304VQ): March 2022,2022-03-28,Arapahoe,2022-03-15,2,0,8005
Life Care Center of Littleton (0204RB): March 2022,2022-03-21,Arapahoe,2022-03-17,2,0,8005
St Andrews Village-LTC (02O244): March 2022,2022-04-18,Arapahoe,2022-03-22,4,0,8005
Englewood Post Acute and Rehabilitation (020481): March 2022,2022-03-30,Arapahoe,2022-03-30,2,0,8005
The Suites at Holly Creek Assisted Living (23Y389): March 2022,2022-04-21,Arapahoe,2022-04-01,4,0,8005
Centennial Montessori: April 2022,2022-05-07,Arapahoe,2022-04-11,6,0,8005
Modena Cherry Creek (23P249): May 2022,2022-07-28,Arapahoe,2022-04-14,31,0,8005
Stonecreek of Littleton (23N524): April 2022,2022-05-03,Arapahoe,2022-04-18,4,0,8005
Our Father Lutheran Church Preschool: April 2022,2022-05-14,Arapahoe,2022-04-19,9,0,8005
Libby Bortz Assisted Living Center (2304GF): April 2022,2022-05-18,Arapahoe,2022-04-20,4,0,8005
Montage Hills (0204T9): April 2022,2022-05-04,Arapahoe,2022-04-20,2,0,8005
Orchard Park Health Care Center (020468): April 2022,2022-06-02,Arapahoe,2022-04-20,33,0,8005
Ascension Lutheran Church in Littleton,2022-05-17,Arapahoe,2022-04-21,10,0,8005
Five Star Residences of Dayton Place (2304D3): April 2022,2022-06-13,Arapahoe,2022-04-22,19,0,8005
Frontier Valley Independent And Assisted Living (2304B1): April 2022,2022-08-07,Arapahoe,2022-04-22,46,1,8005
Garden Plaza of Aurora (23O623): April 2022,2022-05-26,Arapahoe,2022-04-22,7,0,8005
The Gardens at Columbine (2304QP): April 2022,2022-05-16,Arapahoe,2022-04-22,4,0,8005
The Springs at St Andrews Village (02O244): April 2022,2022-07-14,Arapahoe,2022-04-22,29,0,8005
Brookdale Greenwood Village Assisted Living (2304MV): April 2022,2022-05-20,Arapahoe,2022-04-25,45,0,8005
Cherry Creek Nursing Center (020408): April 2022,2022-10-24,Arapahoe,2022-04-26,67,1,8005
University Heights Rehab and Care Community (020447): April 2022,2022-05-12,Arapahoe,2022-04-26,3,0,8005
Littleton Care and Rehabilitation Center (020462): April 2022,2022-05-23,Arapahoe,2022-04-28,19,0,8005
Serenity House Assisted Living V (23W747),2022-05-23,Arapahoe,2022-04-29,4,0,8005
The Suites at Someren Glen Care Center (020471): May 2022 #1,2022-05-25,Arapahoe,2022-04-29,2,0,8005
Chelsea Place (23N217): May 2022,2022-05-18,Arapahoe,2022-05-03,3,0,8005
Highline Place (23L199): May 2022,2022-06-20,Arapahoe,2022-05-03,27,3,8005
Caley (06H512): May 2022,2022-06-06,Arapahoe,2022-05-04,11,0,8005
Shalom Park (0204NU): May 2022,2022-09-07,Arapahoe,2022-05-05,68,0,8005
The Suites At Holly Creek Care Center (02D456): May 2022,2022-06-22,Arapahoe,2022-05-09,4,0,8005
Garden Terrace Alzheimer's Center Of Excellence (020469): May 2022,2022-06-27,Arapahoe,2022-05-10,6,0,8005
Advanced Health Care of Aurora (02D982): May 2022,2022-05-31,Arapahoe,2022-05-12,6,0,8005
The Suites at Holly Creek Assisted Living (23Y389): May 2022,2022-07-11,Arapahoe,2022-05-12,5,0,8005
Cherry Hills Assisted Living and Memory Care (23K182): May 2022,2022-06-30,Arapahoe,2022-05-16,23,0,8005
Life Care Center of Aurora (0204F6): May 2022,2022-08-04,Arapahoe,2022-05-16,45,1,8005
Summit Rehabilitation and Care Community (020407): May 2022,2022-08-16,Arapahoe,2022-05-16,49,0,8005
St Andrews Village- Independent Living: April 2022,2022-07-27,Arapahoe,2022-05-17,48,0,8005
Lowry Hills Care and Rehabilitation (020426): May 2022,2022-07-01,Arapahoe,2022-05-18,9,0,8005
Sprouts Farmers Market - S Broadway #325,2022-06-14,Arapahoe,2022-05-19,9,0,8005
Cherry Creek Retirement Village (2304E5): May 2022,2022-06-01,Arapahoe,2022-05-20,2,0,8005
Life Care Center of Littleton (0204RB): May 2022,2022-08-08,Arapahoe,2022-05-24,44,0,8005
Stonecreek of Littleton (23N524): May 2022,2022-06-16,Arapahoe,2022-05-25,30,0,8005
Garden Plaza of Aurora (23O623): May 2022,2022-08-12,Arapahoe,2022-05-26,20,0,8005
Holly Creek- Independent Living: May 2022,2022-08-17,Arapahoe,2022-05-26,33,0,8005
Caley Ridge Assisted Living Community (230487): May 2022,2022-06-27,Arapahoe,2022-05-30,5,0,8005
The Suites at Someren Glen Care Center (020471): May 2022 #2,2022-06-14,Arapahoe,2022-05-30,6,0,8005
Juniper Village at Aurora (2304S1): May 2022,2022-06-16,Arapahoe,2022-05-31,4,0,8005
Englewood Post Acute and Rehabilitation (020481): May 2022,2022-06-29,Arapahoe,2022-06-01,36,0,8005
Jogan Health,2022-08-02,Arapahoe,2022-06-01,12,0,8005
Julia Temple Healthcare Center (020418): May 2022,2022-09-26,Arapahoe,2022-06-01,60,2,8005
Elevation Health and Rehabilitation Center (020431): May 2022,2022-06-20,Arapahoe,2022-06-02,18,0,8005
Lighthouse Assisted Living - Elizabeth House (23R130): June 2022,2022-06-29,Arapahoe,2022-06-02,7,0,8005
Cherrelyn Healthcare Center (020428): May 2022,2022-08-24,Arapahoe,2022-06-03,59,0,8005
Golden Orchard II (2304U9): June 2022,2022-07-12,Arapahoe,2022-06-03,2,0,8005
Advanced Health Care of Aurora (02D982): June 2022,2022-07-21,Arapahoe,2022-06-06,28,0,8005
Brookdale Greenwood Village (0204W6): June 2022,2022-06-24,Arapahoe,2022-06-08,4,0,8005
Cherry Creek Retirement Village (2304E5): June 2022,2022-08-04,Arapahoe,2022-06-08,18,0,8005
Brookdale Greenwood Village Assisted Living (2304MV): June 2022,2022-07-01,Arapahoe,2022-06-10,3,0,8005
Pinnacle Women's Health - Aurora,2022-06-08,Arapahoe,2022-06-10,5,0,8005
Rustic Rose Assisted Living LLC (23I538),2022-07-01,Arapahoe,2022-06-10,2,0,8005
Chelsea Place (23N217): June 2022,2022-08-11,Arapahoe,2022-06-13,15,0,8005
Someren Glen Assisted Living (2304VQ): June 2022,2022-10-04,Arapahoe,2022-06-13,48,1,8005
Sunrise at Orchard (2304NM): June 2022,2022-07-20,Arapahoe,2022-06-13,18,0,8005
Community Intersections - Aurora: May 2022,2022-08-02,Arapahoe,2022-06-14,17,0,8005
Montage Heights (23H133): June 2022,2022-08-05,Arapahoe,2022-06-14,25,0,8005
Aurora Evergreen Assisted Living LLC (23U630): June 2022,2022-07-05,Arapahoe,2022-06-21,3,0,8005
Littleton Care and Rehabilitation Center (020462): June 2022,2022-07-19,Arapahoe,2022-06-21,3,0,8005
Montage Hills (0204T9): June 2022,2022-07-18,Arapahoe,2022-06-21,7,0,8005
MorningStar at Jordan (23E528): June 2022,2022-07-19,Arapahoe,2022-06-21,7,0,8005
Serenity House Assisted Living VII (23W735): June 2022,2022-07-28,Arapahoe,2022-06-21,3,0,8005
University Heights Rehab and Care Community (020447): June 2022,2022-09-20,Arapahoe,2022-06-21,19,0,8005
Delaware (06H430): June 2022,2022-07-07,Arapahoe,2022-06-27,2,0,8005
Montage Hills (2304X1): June 2022,2022-07-22,Arapahoe,2022-06-27,14,0,8005
St Andrews Village (23G126): June 2022,2022-07-20,Arapahoe,2022-06-27,2,0,8005
Stonecreek of Littleton (23N524): July 2022,2022-07-28,Arapahoe,2022-06-28,3,0,8005
The Suites at Someren Glen Care Center (020471): June 2022,2022-08-25,Arapahoe,2022-06-29,59,4,8005
Thrivecare Rowland LLC (2304J1),2022-07-27,Arapahoe,2022-06-29,2,0,8005
