Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Cut Above Property Management Inc.,Resolved,1/25/2021,Office/Indoor Workspace,,,El Paso,12/15/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A D Specialty Construction,Resolved,11/19/2020,Construction Company/Contractor,,,Larimer,11/10/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Feathered Nest at Thornton (2304JA),Resolved,2/19/2021,Healthcare - Assisted Living,,Yes,Adams,1/20/2021,5,4,,1,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Kid's Space,Resolved,12/8/2020,Child Care Center,,Yes,El Paso,11/4/2020,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Mother's Haven,Resolved,8/6/2021,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),,Yes,Denver,7/9/2021,4,2,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Robin's Nest (23052H),Resolved,12/29/2020,Healthcare - Assisted Living,,Yes,El Paso,12/16/2020,6,4,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Woman's Place LLC,Resolved,12/6/2020,Healthcare - Outpatient,Women's Health Clinic,,Larimer,11/12/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-B Petroleum #23,Resolved,5/31/2021,Convenience/Corner Store,,,Jefferson,5/13/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Construction,Resolved,11/17/2020,Construction Company/Contractor,,,El Paso,10/27/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBA Eye Care,Resolved,1/24/2021,Retailer,,,Alamosa,12/30/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Road Assisted Living - Newport (2304AW),Resolved,7/5/2021,Healthcare - Assisted Living,,Yes,Arapahoe,6/18/2021,6,1,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Central Child Development Centers,Resolved,7/27/2020,Child Care Center,,Yes,Weld,6/29/2020,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Development Center,Resolved,4/6/2021,Child Care Center,,Yes,Washington,3/3/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC West Child Development Centers,Resolved,12/2/2020,Child Care Center,,Yes,Weld,11/10/2020,,8,2,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABM - Facility Services,Resolved,6/23/2020,Construction Company/Contractor,Maintenance Services,,Arapahoe,5/29/2020,,11,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrusci's Fire and Vine,Resolved,8/27/2020,Restaurant - Sit Down,,,Jefferson,7/30/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Bakery & Cafe,Resolved,3/19/2021,Restaurant - Sit Down,,,Montezuma,3/1/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Graphics,Resolved,3/2/2021,Office/Indoor Workspace,,,Larimer,2/5/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Blessings and Care Assist Living- Geddes Ave (23O624),Resolved,5/14/2020,Healthcare - Assisted Living,,Yes,Arapahoe,4/24/2020,5,2,,2,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Blessings and Care Assisted Living (23B942),Resolved,12/11/2020,Healthcare - Assisted Living,,Yes,Arapahoe,12/11/2020,2,1,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Blessings and Care Assisted Living- Lincoln (23T700),Resolved,4/30/2020,Healthcare - Assisted Living,,Yes,Arapahoe,3/30/2020,2,2,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Blessings and Care- Marion Way (23V339),Resolved,12/11/2020,Healthcare - Assisted Living,,Yes,Arapahoe,11/16/2020,6,3,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia Learning Center,Resolved,12/30/2020,Child Care Center,,Yes,Denver,10/23/2020,,6,11,,1,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academia Ana Marie Sandoval,Resolved,12/23/2020,School K-12,,Yes,Denver,11/13/2020,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Charter School,Resolved,12/8/2020,School K-12,,Yes,Douglas,11/17/2020,,,2,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy District 20 Transportation Department,Resolved,12/20/2020,School Administration,School Transportation Department,Yes,El Paso,12/4/2020,,2,2,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
