Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elms Haven Center (020474): July 2020,Resolved,10/21/2020,Healthcare - Skilled Nursing,,Yes,Adams,7/15/2020,83,37,,20,,,120,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elva Martinez Housecleaning,Resolved,10/20/2020,Home Maintenance Services,Cleaning Service,,Boulder,9/28/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elward Systems Corporation ,Resolved,1/8/2021,Office/Indoor Workspace,,,Jefferson,11/11/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embassy Suites by Hilton,Resolved,12/16/2020,Hotel/Lodge/Resort,,,Denver,11/18/2020,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Fields,Resolved,7/15/2021,Retailer,Marijuana Dispensary,,El Paso,1/20/2021,,24,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Mountain School,Resolved,2/12/2021,School K-12,,Yes,Routt,2/1/2021,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Dental of Colorado Springs,Resolved,6/10/2021,Healthcare - Outpatient,Dental Office,,El Paso,6/2/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Shelter Site - 4600 E 48th,Resolved,3/9/2021,Construction Site,,Yes,Denver,2/19/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMF (Electronics Metal Finishing) Corporation,Resolved,6/21/2020,Non-Food Manufacturer/Warehouse,,,El Paso,6/2/2020,,2,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emich Automotive,Resolved,12/11/2020,Other,Auto Dealership,,Denver,11/4/2020,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emich Volkswagen,Resolved,1/25/2021,Other,Auto Dealership,,Denver,12/30/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emory Elementary School,Resolved,12/1/2020,School K-12,,Yes,Jefferson,11/24/2020,,1,3,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Beauty School - Aurora,Resolved,6/24/2021,Trade School,,Yes,Arapahoe,5/18/2021,,1,3,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Beauty School - Littleton,Resolved,12/21/2020,Trade School,,Yes,Jefferson,11/18/2020,,3,2,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Burger,Resolved,2/1/2021,Restaurant - Sit Down,,,Summit,12/28/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Lakewood Nissan,Resolved,5/16/2021,Other,Auto Dealership,,Jefferson,4/8/2021,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Meats Denver Processing,Resolved,5/10/2020,Meat Processing/Packaging,Meat Processing,Yes,Denver,4/23/2020,,20,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Health Rehab Hospital of Littleton,Resolved,3/1/2021,Healthcare - Rehab Facility,,Yes,Arapahoe,12/23/2020,2,22,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Health Rehabilitation Hospital: January 2021,Resolved,3/20/2021,Healthcare - Rehab Facility,,Yes,El Paso,3/1/2021,3,9,,1,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Health Rehabilitation Hospital: November 2020,Resolved,1/10/2021,Healthcare - Rehab Facility,,Yes,El Paso,11/17/2020,3,13,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Technologies,Resolved,9/15/2020,Office/Indoor Workspace,,,Larimer,8/21/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Encore Electric, Inc.- Fort Collins",Resolved,4/13/2021,Construction Company/Contractor,,,Larimer,3/24/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Encore Electric, Inc.- Lakewood",Resolved,12/16/2020,Construction Company/Contractor,,,Jefferson,11/20/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood Early Childhood Education Program at Maddox,Resolved,5/17/2021,Child Care Center,,Yes,Arapahoe,4/21/2021,,3,7,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood Elks Lodge 2122,Resolved,8/13/2020,Indoor Entertainment/Rec,Members only club,,Arapahoe,7/21/2020,,,6,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood High School,Resolved,6/6/2021,School K-12,,Yes,Arapahoe,6/7/2021,,,12,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood Post Acute and Rehabilitation (020481): December 2020,Resolved,2/8/2021,Healthcare - Skilled Nursing,,Yes,Arapahoe,12/23/2020,3,6,,1,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood Post Acute and Rehabilitation (020481): March 2021,Resolved,6/14/2021,Healthcare - Skilled Nursing,,Yes,Arapahoe,3/31/2021,2,5,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood Post Acute and Rehabilitation (020481): October 2020,Resolved,12/11/2020,Healthcare - Combined Care,,Yes,Arapahoe,10/30/2020,48,28,,2,,,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enjoy Church,Resolved,3/9/2021,Religious Facility,,,Mesa,2/8/2021,,1,4,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enstrom's Candies,Resolved,2/8/2021,Food Manufacturing/Packaging,,Yes,Mesa,11/20/2020,,20,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENT Credit Union,Resolved,11/28/2020,Office/Indoor Workspace,,,El Paso,12/2/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Rent-A-Car - Durango,Resolved,12/17/2020,Other,Car Rental,,La Plata,12/8/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Rent-A-Car - Loveland,Resolved,3/15/2021,Other,Car Rental,,Larimer,2/19/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Egg - Market Square,Resolved,3/22/2021,Restaurant - Sit Down,,,Weld,2/24/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epicurean Butter: August 2020,Resolved,8/25/2020,Food Manufacturing/Packaging,,Yes,Adams,8/18/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epicurean Butter: May 2020,Resolved,7/1/2020,Food Manufacturing/Packaging,,Yes,Adams,5/12/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erie High School,Resolved,6/11/2021,School K-12,,Yes,Weld,4/19/2021,,1,62,,,,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erie Middle School,Resolved,1/11/2021,School K-12,,Yes,Weld,11/24/2020,,1,8,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernies (11th St Station),Resolved,12/9/2020,Restaurant - Sit Down,,,La Plata,11/19/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ersilia Cruz Middle School (CHPA),Resolved,1/19/2021,School K-12,,Yes,Pueblo,11/24/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalante-Biggs Academy: February 2021,Resolved,3/13/2021,School K-12,,Yes,Denver,2/10/2021,,3,2,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalante-Biggs Academy: November 2020,Resolved,12/3/2020,School K-12,,Yes,Denver,11/5/2020,,4,1,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESS Metron Inc,Resolved,1/27/2021,Non-Food Manufacturer/Warehouse,,,Denver,11/5/2020,,27,,,,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes Express Lines-Denver,Resolved,12/1/2020,Distribution Center/Business,Transportation,,Adams,10/1/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes Park Condos,Resolved,10/29/2020,Office/Indoor Workspace,,,Larimer,10/12/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes Park High School,Resolved,3/15/2021,School K-12,,Yes,Larimer,2/8/2021,,1,6,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETG Systems,Resolved,4/20/2021,Other,Security System Installer,,Denver,4/5/2021,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euclid Middle School,Resolved,5/8/2021,School K-12,,Yes,Arapahoe,4/29/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Wax Center,Resolved,10/24/2020,Personal Services,Hair Removal,,Jefferson,10/16/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evangel Assembly of God Church,Resolved,12/14/2020,Religious Facility,,,Montezuma,11/16/2020,,,11,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evangelical Christian Academy,Resolved,4/27/2021,School K-12,,Yes,El Paso,3/22/2021,,4,14,,,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evans Elementary School,Resolved,12/4/2020,School K-12,,Yes,El Paso,11/10/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening's Porch LLC (23I527): July 2021,Resolved,8/5/2021,Healthcare - Assisted Living,,Yes,La Plata,7/12/2021,3,2,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening's Porch LLC (23I527): November 2020,Resolved,12/21/2020,Healthcare - Assisted Living,,Yes,La Plata,12/1/2020,2,4,1,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Cemetery,Resolved,12/21/2020,Other,Cemetery,,El Paso,12/9/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Gardens at La Junta (23028D),Resolved,12/22/2020,Healthcare - Assisted Living,,Yes,Otero,2/4/2021,3,3,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Middle School,Resolved,5/17/2021,School K-12,,Yes,Jefferson,4/15/2021,,2,9,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Natural Resources,Resolved,3/26/2021,Office/Indoor Workspace,,,Las Animas,11/24/2020,,20,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Nursing Home (021065): April 2021,Resolved,5/13/2021,Healthcare - Skilled Nursing,,Yes,Alamosa,4/26/2021,1,2,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Nursing Home (021065): November 2020,Resolved,1/6/2021,Healthcare - Skilled Nursing,,Yes,Alamosa,11/24/2020,34,27,,10,,,61,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everitt Middle School,Resolved,5/17/2021,School K-12,,Yes,Jefferson,5/5/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every Child Pediatrics,Resolved,2/11/2021,Healthcare - Outpatient,Pediatric Office,,Arapahoe,12/22/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO: December 2020,Resolved,12/30/2020,Retailer,,,Denver,12/9/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO: March 2021,Resolved,5/11/2021,Retailer,,,Denver,4/9/2021,,12,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evoquoa Water Technologies,Resolved,1/5/2021,Non-Food Manufacturer/Warehouse,Water Supply Company,,El Paso,11/22/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excalibur Machine & Sheet Metal,Resolved,11/23/2020,Non-Food Manufacturer/Warehouse,,,El Paso,11/23/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excel Academy Charter School: March 2021,Resolved,6/24/2021,School K-12,,Yes,Jefferson,3/26/2021,,2,11,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional Stays Cleaning Company,Resolved,7/27/2020,Home Maintenance Services,Cleaning Service,,San Miguel,6/23/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explorer Elementary School: April 2021,Resolved,5/17/2021,School K-12,,Yes,El Paso,4/14/2021,,2,7,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explorer Elementary School: November 2020,Resolved,12/14/2020,School K-12,,Yes,El Paso,11/15/2020,,3,1,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploring Minds Academy,Resolved,11/10/2020,Child Care Center,,Yes,Boulder,10/14/2020,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Associates of Colorado Springs,Resolved,2/8/2021,Healthcare - Outpatient,Eye Care Center,,El Paso,11/24/2020,,18,,,,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.U.E.L. Salon & Spa,Resolved,4/24/2021,Personal Services,Spa/Salon,,Douglas,3/17/2021,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45 Training Centennial East Gym,Resolved,1/26/2021,Indoor Entertainment/Rec,Gym,,Arapahoe,1/11/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fairacres Manor, Inc. (020369): March 2020",Resolved,5/18/2020,Healthcare - Skilled Nursing,,Yes,Weld,3/17/2020,40,46,,13,,,86,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fairacres Manor, Inc. (020369): November 2020",Resolved,1/18/2021,Healthcare - Skilled Nursing,,Yes,Weld,12/1/2020,4,11,,,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmount Elementary School,Resolved,1/12/2021,School K-12,,Yes,Jefferson,12/18/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview High School,Resolved,5/25/2021,School K-12,,Yes,Boulder,4/8/2021,,,5,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairway Independent Mortgage Corporation - Northern Colorado,Resolved,5/1/2021,Office/Indoor Workspace,,,Larimer,4/14/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Christian Academy K-8: May 2021,Resolved,6/12/2021,School K-12,,Yes,Jefferson,5/18/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Christian Academy K-8: November 2020,Resolved,1/4/2021,School K-12,,Yes,Jefferson,12/8/2020,,,2,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Christian High School: April 2021,Resolved,5/25/2021,School K-12,,Yes,Jefferson,4/16/2021,,3,18,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Christian High School: November 2020,Resolved,12/11/2020,School K-12,,Yes,Jefferson,11/17/2020,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Tabernacle Church Greeley,Resolved,10/1/2020,Religious Facility,,,Weld,9/8/2020,,,10,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Bluffs Middle School : May 2021,Resolved,6/9/2021,School K-12,,Yes,Jefferson,5/18/2021,,,8,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Bluffs Middle School: November 2020,Resolved,12/8/2020,School K-12,,Yes,Jefferson,11/12/2020,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon High School: April 2021,Resolved,6/2/2021,School K-12,,Yes,El Paso,4/19/2021,,2,9,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon High School: February 2021,Resolved,3/8/2021,School K-12,,Yes,El Paso,2/16/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon High School: November 2020,Resolved,12/7/2020,School K-12,,Yes,El Paso,11/9/2020,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Middle School: April 2021,Resolved,6/16/2021,School K-12,,Yes,El Paso,4/23/2021,,1,12,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Middle School: March 2021,Resolved,4/3/2021,School K-12,,Yes,El Paso,3/8/2021,,2,1,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Dollar,Resolved,4/23/2021,Retailer,,,Teller,3/31/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Gathering - Moffat County,Resolved,12/22/2020,Social Gathering,,,Moffat,10/20/2020,,,5,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Gathering- Rio Grande County,Resolved,1/15/2021,Social Gathering,,,Rio Grande,12/16/2020,,,14,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family of Christ Child Development Center,Resolved,6/6/2021,Child Care Center,,Yes,El Paso,5/5/2021,,4,5,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Star Montessori School,Resolved,1/31/2021,Child Care Center,,Yes,Denver,12/7/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Support Center- Central,Resolved,1/4/2021,Healthcare - Facility for Developmentally Disabled (outpatient),,Yes,El Paso,12/11/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Support Center- North,Resolved,1/12/2021,Healthcare - Facility for Developmentally Disabled (outpatient),,Yes,El Paso,11/10/2020,,21,,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Support Center- Pueblo,Resolved,1/6/2021,Healthcare - Facility for Developmentally Disabled (outpatient),Outpatient Therapy,Yes,Pueblo,11/20/2020,,12,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Support Center- South,Resolved,12/30/2020,Healthcare - Facility for Developmentally Disabled (outpatient),,Yes,El Paso,11/11/2020,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers Insurance- Fort Lupton,Resolved,10/11/2020,Office/Indoor Workspace,,,Weld,9/18/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers Insurance- Trinidad,Resolved,1/4/2021,Office/Indoor Workspace,,,Las Animas,12/15/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers State Bank - Falcon Branch,Resolved,5/21/2021,Office/Indoor Workspace,,,El Paso,4/13/2021,,10,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farrell B. Howell ECE-8 School,Resolved,12/14/2020,School K-12,,Yes,Denver,11/6/2020,,4,2,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue and Sleep Remedies of Colorado - Greeley,Resolved,10/29/2020,Healthcare - Outpatient,Sleep Clinic,,Weld,10/5/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fattys Pizzeria,Resolved,12/23/2020,Restaurant - Sit Down,,,Summit,12/7/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDA District Office and Lab Denver,Resolved,1/3/2021,Other,Laboratory,,Colorado,12/10/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Bar & Grill,Resolved,12/4/2020,Restaurant - Sit Down,,,Denver,12/4/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Correctional Institution - Englewood: June 2020,Resolved,9/4/2020,Federal Prison,,Yes,Colorado,6/4/2020,11,1,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Dr. Office Construction Project,Resolved,1/26/2021,Construction Site,,Yes,El Paso,12/18/2020,,52,,,,,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedewa/JDG Construction Site- Personal Residence,Resolved,12/31/2020,Construction Site,Construction site at private residence,,Routt,12/1/2020,2,5,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx Express DEN: April 2021,Resolved,4/29/2021,Distribution Center/Business,,,Denver,4/20/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx Express DEN: November 2020,Resolved,1/18/2021,Distribution Center/Business,,,Denver,1/21/2021,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx Freight COS Terminal,Resolved,1/21/2021,Distribution Center/Business,Global Shipping Company,,El Paso,11/25/2020,,11,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx Ground - Glenwood Springs,Resolved,7/6/2021,Distribution Center/Business,,,Garfield,6/16/2021,,12,,,1,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedex Ground - Henderson: June 2020,Resolved,8/25/2020,Distribution Center/Business,Warehouse Distribution,,Adams,6/5/2020,,30,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedex Ground - Pueblo,Resolved,6/1/2021,Distribution Center/Business,,,Pueblo,5/7/2021,,16,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedex Ground - Troy Hill Rd,Resolved,6/30/2021,Distribution Center/Business,,,El Paso,5/28/2021,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx Ship Center,Resolved,6/3/2021,Distribution Center/Business,,,Boulder,5/6/2021,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedstore Church,Resolved,2/25/2021,Religious Facility,,,Rio Grande,1/22/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
