Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Brookdale - Tamarac Square: April 2020,2020-05-14,Healthcare - Independent Living Facility,,Denver,2020-03-31,4,1,,2,,,5,2,,,,,,,
Cargill Meat Solutions: April 2020,2020-07-14,Meat Processing/Packaging,Meat Packing Plant,Morgan,2020-03-31,,109,,,4,,109,4,,,,,,,
Mountain States Rosen Company,2020-05-27,Meat Processing/Packaging,Meat Processing Plant (Lamb),Weld,2020-03-31,,9,,,,,9,0,,,,,,,
The Edge- Copper Mountain: March 2020,2020-04-26,Other,Employee Housing,Summit,2020-03-31,,4,,,,,4,0,,,,,,,
Winslow Court Retirement Community (230512): April 2020,2020-06-11,Healthcare - Assisted Living,Assisted living & independent living,El Paso,2020-03-31,29,12,,11,,,41,11,,,,,,,
Aurora Organic Dairy - Platteville,2020-05-12,Farm/Dairy,,Weld,2020-04-01,,7,,,1,,7,1,,,,,,,
Brookdale El Camino (2306MT): April 2020,2020-05-27,Healthcare - Assisted Living,,Pueblo,2020-04-01,15,16,,5,,,31,5,,,,,,,
Littleton Care and Rehabilitation Center (020462): April 2020,2020-05-08,Healthcare - Nursing Facility,,Arapahoe,2020-04-01,8,18,,4,,,26,4,,,,,,,
Sloan's Lake Rehabilitation Center (02Q649): April 2020,2020-05-22,Healthcare - Nursing Facility,Rehab,Denver,2020-04-01,14,17,,3,,,31,3,,,,,,,
Sunrise at Cherry Creek (2304OU): April 2020,2020-05-17,Healthcare - Assisted Living,,Denver,2020-04-01,6,6,,3,,,12,3,,,,,,,
The Bridge Assisted Living at Life Care Center of Longmont (2303KO): April 2020,2020-05-12,Healthcare - Assisted Living,,Boulder,2020-04-01,22,13,,9,,,35,9,,,,,,,
Weld County Jail: April 2020,2021-04-01,Jail,,Weld,2020-04-01,88,28,,1,,,116,1,,,,,,,
Aspen Living Center (020586): April 2020,2020-05-27,Healthcare - Nursing Facility,,El Paso,2020-04-02,4,4,,,,,8,0,,,,,,,
Berkley Manor Care Center (020419): April 2020,2020-07-14,Healthcare - Nursing Facility,,Denver,2020-04-02,33,16,,8,,,49,8,,,,,,,
Canon Lodge Care Center (020676): April 2020,2020-05-20,Healthcare - Nursing Facility,,Fremont,2020-04-02,4,3,,,,,7,0,,,,,,,
"Colorado Springs Senior Homes, Inc (230518): April 2020",2020-05-13,Healthcare - Assisted Living,,El Paso,2020-04-02,2,2,,1,,,4,1,,,,,,,
Denver North Care Center (020444): April 2020,2020-06-05,Healthcare - Nursing Facility,,Denver,2020-04-02,36,21,,11,,,57,11,,,,,,,
JBS Greeley Beef Plant: April 2020,2020-10-20,Meat Processing/Packaging,Slaughterhouse/Meat packing plant,Weld,2020-04-02,,294,,,6,,294,6,,,,,,,
Logan Home- Bethesda Lutheran Communities,2020-05-05,Healthcare - Intermediate Care,,Arapahoe,2020-04-02,2,1,,,,,3,0,,,,,,,
The Courtyard at Lakewood Independent Living Center,2020-06-08,Healthcare - Independent Living Facility,,Jefferson,2020-04-02,4,,,2,,,4,2,,,,,,,
Brookdale University Park (230490): April 2020,2020-06-21,Healthcare - Assisted Living,,Denver,2020-04-03,9,11,,4,,,20,4,,,,,,,
Colorado State Veterans Home at Fitzsimons (02R932): April 2020,2020-07-16,Healthcare - Nursing Facility,,Adams,2020-04-03,68,30,,26,,,98,26,,,,,,,
Colorow Health Care LLC (021154): April 2020,2020-07-22,Healthcare - Nursing Facility,,Montrose,2020-04-03,13,33,,3,,,46,3,,,,,,,
Lakeview Senior Living,2020-05-12,Healthcare - Independent Living Facility,,Jefferson,2020-04-03,7,5,,4,,,12,4,,,,,,,
Life Care Center of Longmont (020316): April 2020,2020-07-22,Healthcare - Nursing Facility,,Boulder,2020-04-03,13,12,,1,,,25,1,,,,,,,
Ridgeview Post Acute (020404): April 2020,2020-07-02,Healthcare - Nursing Facility,,Adams,2020-04-03,28,24,,10,,,52,10,,,,,,,
San Juan Living Center (021141): April 2020,2020-05-28,Healthcare - Nursing Facility,,Montrose,2020-04-03,20,21,,6,,,41,6,,,,,,,
Parkview Care Center (020440): April 2020,2020-05-26,Healthcare - Nursing Facility,,Denver,2020-04-04,29,15,,11,,,44,11,,,,,,,
The Peaks Care Center (020391): April 2020,2020-07-09,Healthcare - Nursing Facility,,Boulder,2020-04-04,51,36,,20,,,87,20,,,,,,,
Health Center at Franklin Park (020439): April 2020,2020-06-29,Healthcare - Nursing Facility,,Denver,2020-04-05,25,29,,6,,,54,6,,,,,,,
"Center at Lowry, LLC (02G500): April 2020",2020-06-16,Healthcare - Nursing Facility,,Denver,2020-04-06,10,15,,1,,,25,1,,,,,,,
Highline Place (23L199): April 2020,2020-05-19,Healthcare - Assisted Living,,Arapahoe,2020-04-06,3,4,,2,,,7,2,,,,,,,
Irondale Post Acute (020421): April 2020,2020-06-09,Healthcare - Nursing Facility,,Adams,2020-04-06,19,19,,3,,,38,3,,,,,,,
Lakewood Reserve (23R738): April 2020,2020-05-19,Healthcare - Assisted Living,,Jefferson,2020-04-06,3,1,,1,,,4,1,,,,,,,
Robert Russell Eastern Star - Masonic Center of Colorado (2304HP): April 2020,2020-05-15,Healthcare - Assisted Living,,Denver,2020-04-06,9,11,,4,,,20,4,,,,,,,
Sherman House (05I531),2020-05-20,Healthcare - RCFDD Group home,,Arapahoe,2020-04-06,4,1,,,,,5,0,,,,,,,
Mountain Vista Health Center (020429): April 2020,2020-07-27,Healthcare - Nursing Facility,,Jefferson,2020-04-07,95,42,,32,,,137,32,,,,,,,
The Argyle (230464): April 2020,2020-05-28,Healthcare - Assisted Living,,Denver,2020-04-07,2,9,,,,,11,0,,,,,,,
Wheat Ridge Regional Center - House K (06G127): April 2020,2020-08-25,Healthcare - Intermediate Care,,Jefferson,2020-04-07,5,10,,1,,,15,1,,,,,,,
Clear Creek Care Center (020401): April 2020,2020-06-05,Healthcare - Nursing Facility,,Adams,2020-04-08,23,25,,9,,,48,9,,,,,,,
Eben Ezer Lutheran Care Center (020170): April 2020,2020-06-05,Healthcare - Nursing Facility,,Morgan,2020-04-08,61,37,1,22,,,99,22,,,,,,,
