Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Boulder High School: November 2020,2020-12-23,School K-12,,Boulder,2020-11-14,,5,2,,,,7,0,,,,,,,
Carmel Construction - Drive Train Site: November 2020,2021-01-07,Construction Site,,Denver,2020-11-14,,16,,,,,16,0,,,,,,,
DSST: Green Valley Ranch High School: November 2020,2020-12-16,School K-12,,Denver,2020-11-14,,,2,,,,2,0,,,,,,,
Hallmark Nursing Center (020453): November 2020,2021-02-08,Healthcare - Nursing Facility,,Denver,2020-11-14,50,34,,14,,,84,14,,,,,,,
Montessori Academy of Colorado: November 2020,2021-01-11,School K-12,,Denver,2020-11-14,,1,3,,,,4,0,,,,,,,
Myers and Sons Construction - Rte 287 Jobsite,2020-12-09,Construction Site,,Prowers,2020-11-14,,16,,,,,16,0,,,,,,,
Pioneer Bilingual Elementary School: November 2020,2020-12-23,School K-12,,Boulder,2020-11-14,,1,1,,,,2,0,,,,,,,
Prowers Medical Center: October 2020,2021-01-05,Healthcare - Acute Care Hospital,Critical Access Hospital,Prowers,2020-11-14,,17,,,,,17,0,,,,,,,
Southeastern Developmental Services,2020-12-17,Healthcare - Facility for Developmentally Disabled,,Prowers,2020-11-14,,14,7,,,,21,0,,,,,,,
Beaver Creek Ski Rentals,2020-12-05,Outdoor Entertainment/Rec,,Eagle,2020-11-15,,3,,,,,3,0,,,,,,,
Bread & Salt,2020-12-09,Restaurant - Sit Down,,Summit,2020-11-15,,4,,,,,4,0,,,,,,,
Downstairs at Eric's: November 2020,2020-12-08,Restaurant - Sit Down,,Summit,2020-11-15,,3,,,,,3,0,,,,,,,
Explorer Elementary School: November 2020,2020-12-14,School K-12,,El Paso,2020-11-15,,3,1,,,,4,0,,,,,,,
The GOAT Apartments,2020-12-15,Other,Housing/Apartment Complex,Summit,2020-11-15,,3,,,,,3,0,,,,,,,
Vail Mountain Lift Operations,2021-09-27,Outdoor Entertainment/Rec,,Eagle,2020-11-15,,4,,,,,4,0,,,,,,,
Abundant Blessings and Care- Marion Way (23V339): November 2020,2020-12-11,Healthcare - Assisted Living,,Arapahoe,2020-11-16,6,3,,,,,9,0,,,,,,,
American Electric,2020-12-10,Materials Supplier,,Alamosa,2020-11-16,,2,,,,,2,0,,,,,,,
Black Hills Energy ,2020-12-21,Municipal/Local Government,,Fremont,2020-11-16,,4,,,,,4,0,,,,,,,
Brookdale Greenwood Village (0204W6): November 2020,2021-01-07,Healthcare - Nursing Facility,,Arapahoe,2020-11-16,7,3,,,,,10,0,,,,,,,
Burger King #9426,2020-12-01,Restaurant - Fast Food,,Eagle,2020-11-16,,2,,,,,2,0,,,,,,,
Canvas Credit Union- Windsor,2020-12-02,Office/Indoor Workspace,,Weld,2020-11-16,,2,,,,,2,0,,,,,,,
Centennial Water & Sanitation District,2020-12-08,Municipal/Local Government,Water and Wastewater Provider,Douglas,2020-11-16,,4,,,,,4,0,,,,,,,
Cheyenne Mountain Center (020573): November 2020,2021-01-25,Healthcare - Nursing Facility,,El Paso,2020-11-16,93,70,,23,,,163,23,,,,,,,
City Market- Woodland Park #431: November 2020,2021-01-19,Grocery Store,,Teller,2020-11-16,,6,,,,,6,0,,,,,,,
City o City ,2020-12-22,Restaurant - Sit Down,,Denver,2020-11-16,,9,,,,,9,0,,,,,,,
City of Fort Collins Streets Department,2020-12-06,Municipal/Local Government,,Larimer,2020-11-16,,2,,,,,2,0,,,,,,,
City of Thornton Fire Department,2021-01-26,Municipal/Local Government,Fire Department,Adams,2020-11-16,,11,,,,,11,0,,,,,,,
Colorado In Motion,2020-12-01,Healthcare - Outpatient,Physical Therapy Center,Larimer,2020-11-16,,4,,,,,4,0,,,,,,,
Cortez LiveStock Auction Inc,2020-11-24,Other,Auction,Montezuma,2020-11-16,,2,,,1,,2,1,,,,,,,
Costco Wholesale #1030: November 2020,2021-02-19,Retailer,,El Paso,2020-11-16,,28,,,,,28,0,,,,,,,
Creative Foam: November 2020,2020-12-07,Non-Food Manufacturer/Warehouse,,Larimer,2020-11-16,,2,,,,,2,0,,,,,,,
CrossFitMRF/Mountain Range Fitness,2020-12-08,Indoor Entertainment/Rec,Gym,Montezuma,2020-11-16,,,6,,,,6,0,,,,,,,
Early Childhood Center-South,2020-12-08,Child Care Center,,Douglas,2020-11-16,,3,,,,,3,0,,,,,,,
El Pueblo History Museum,2021-01-05,Other,Museum,Pueblo,2020-11-16,,3,,,,,3,0,,,,,,,
Ellis Elementary School: November 2020,2020-12-11,School K-12,,Denver,2020-11-16,,2,3,,,,5,0,,,,,,,
Evangel Assembly of God Church,2020-12-14,Religious Facility,,Montezuma,2020-11-16,,,11,,,,11,0,,,,,,,
Fort Collins Select PT,2020-12-16,Healthcare - Outpatient,Physical Therapy Center,Larimer,2020-11-16,,7,,,,,7,0,,,,,,,
Global Village Academy - Northglenn: November 2020,2020-12-08,School K-12,,Adams,2020-11-16,,6,3,,,,9,0,,,,,,,
Grand Junction Regional Center-House 2 (05112A): November 2020,2020-12-16,Healthcare - Intermediate Care,,Colorado,2020-11-16,7,7,,,,,14,0,,,,,,,
High Country Bank,2020-12-11,Office/Indoor Workspace,,Chaffee,2020-11-16,,2,,,,,2,0,,,,,,,
Hillcrest of Loveland (23E476): November 2020,2021-01-04,Healthcare - Assisted Living,,Larimer,2020-11-16,25,11,,2,,,36,2,,,,,,,
Holcim USA,2021-01-11,Non-Food Manufacturer/Warehouse,Cement Company,Fremont,2020-11-16,,4,,,,,4,0,,,,,,,
HomeWell Care Services,2020-12-08,Healthcare - Outpatient,Home Health Agency,Larimer,2020-11-16,,6,,,,,6,0,,,,,,,
Horizons Care Center (021111): November 2020,2021-03-12,Healthcare - Nursing Facility,,Delta,2020-11-16,42,39,,19,,,81,19,,,,,,,
Loveland High School: November 2020,2020-12-25,School K-12,,Larimer,2020-11-16,,3,13,,,,16,0,,,,,,,
Lululemon- Vail,2020-12-04,Retailer,,Eagle,2020-11-16,,2,,,,,2,0,,,,,,,
Mesa Vista of Boulder (020380): November 2020,2021-02-01,Healthcare - Nursing Facility,Assisted Living/Skilled Nursing,Boulder,2020-11-16,70,43,,1,,,113,1,,,,,,,
Moe's BBQ Vail,2020-12-02,Restaurant - Sit Down,,Eagle,2020-11-16,,5,,,,,5,0,,,,,,,
Molhom Elementary ,2020-12-08,School K-12,,Jefferson,2020-11-16,,3,1,,,,4,0,,,,,,,
Most Precious Blood Preschool,2020-12-08,Child Care Center,,Denver,2020-11-16,,2,1,,,,3,0,,,,,,,
Nestle Purina Pet Care: November 2020,2021-02-09,Food Manufacturing/Packaging,,Denver,2020-11-16,,53,,,,,53,0,,,,,,,
Parker Senior Living by MorningStar (23X291): November 2020,2021-02-03,Healthcare - Assisted Living,,Douglas,2020-11-16,120,48,,12,,,168,12,,,,,,,
Parks and Open Space Service Center-Highlands Ranch ,2020-12-02,Municipal/Local Government,,Douglas,2020-11-16,,2,,,,,2,0,,,,,,,
Phase 2 Company (PK-8 site),2020-12-13,Construction Company/Contractor,,Larimer,2020-11-16,,8,,,,,8,0,,,,,,,
Pine Creek High School: November 2020,2020-12-14,School K-12,,El Paso,2020-11-16,,,4,,,,4,0,,,,,,,
Platte River Academy: November 2020,2020-12-22,School K-12,,Douglas,2020-11-16,,4,11,,,,15,0,,,,,,,
Pomona High School: November 2020,2021-01-12,School K-12,,Jefferson,2020-11-16,,3,10,,,,13,0,,,,,,,
Prestige Academy Reunion,2020-12-23,Child Care Center,,Adams,2020-11-16,,3,3,,,,6,0,,,,,,,
Primrose Retirement Community of Pueblo (23Z405): November 2020,2021-04-05,Healthcare - Assisted Living,,Pueblo,2020-11-16,11,3,,,,,14,0,,,,,,,
Primrose School of Thornton: November 2020,2020-12-21,Child Care Center,,Adams,2020-11-16,,3,1,,,,4,0,,,,,,,
Pueblo Hatchery,2020-12-28,Other,Fish hatchery,Colorado,2020-11-16,,5,,,,,5,0,,,,,,,
Rehabilitation and Nursing Center of the Rockies (020325): November 2020,2020-11-30,Healthcare - Nursing Facility,,Larimer,2020-11-16,2,5,,,,,7,0,,,,,,,
Rocky Mountain Classical Academy: November 2020,2020-12-15,School K-12,,El Paso,2020-11-16,,,6,,,,6,0,,,,,,,
RTD Elati Light Rail Maintenance Facility: November 2020,2021-06-04,Other,Public Transportation,Arapahoe,2020-11-16,,49,,,,,49,0,,,,,,,
Schofield Excavation,2020-11-24,Construction Company/Contractor,,Eagle,2020-11-16,,3,,,,,3,0,,,,,,,
Sevens Residential Memory Care (23E900): November 2020,2020-12-18,Healthcare - Assisted Living,,Jefferson,2020-11-16,11,5,,,,,16,0,,,,,,,
Shaeffer Hyde Construction ,2020-12-09,Construction Company/Contractor,,Eagle,2020-11-16,,4,,,,,4,0,,,,,,,
Starbucks - Avon,2020-12-08,Restaurant - Other,Coffee Shop,Eagle,2020-11-16,,2,,,,,2,0,,,,,,,
Sunrise at Orchard (2304NM): November 2020 ,2020-12-04,Healthcare - Assisted Living,,Arapahoe,2020-11-16,2,2,,,,,4,0,,,,,,,
The Center at Park West LLC (02E472): November 2020,2021-02-09,Healthcare - Nursing Facility,,Pueblo,2020-11-16,17,36,,6,1,,53,7,,,,,,,
The Gardens (020533): November 2020,2021-01-25,Healthcare - Nursing Facility,,El Paso,2020-11-16,41,35,,4,,,76,4,,,,,,,
Thompson Valley High School: November 2020,2020-12-16,School K-12,,Larimer,2020-11-16,,4,9,,,,13,0,,,,,,,
Thunder Mountain Elementary School: November 2020,2021-05-10,School K-12,,Mesa,2020-11-16,,3,2,,,,5,0,,,,,,,
US Recognition,2020-12-09,Retailer,,Jefferson,2020-11-16,,2,,,,,2,0,,,,,,,
Vendetta's Restaurant,2020-12-12,Restaurant - Sit Down,,Eagle,2020-11-16,,3,,,,,3,0,,,,,,,
Walmart #1199: November 2020,2020-11-29,Retailer,,Eagle,2020-11-16,,3,,,,,3,0,,,,,,,
Academy Charter School,2020-12-08,School K-12,,Douglas,2020-11-17,,,2,,,,2,0,,,,,,,
Alpine Potato,2020-12-09,Food Warehouse,,Alamosa,2020-11-17,,4,,,,,4,0,,,,,,,
Antonio's Real NY Pizza,2020-12-16,Restaurant - Sit Down,,Larimer,2020-11-17,,3,,,,,3,0,,,,,,,
Associated Thermoforming Inc,2020-12-26,Non-Food Manufacturer/Warehouse,,Larimer,2020-11-17,,4,,,,,4,0,,,,,,,
Balfour at Lavender Farms (23Y832): November 2020,2020-12-08,Healthcare - Assisted Living,,Boulder,2020-11-17,3,7,,,,,10,0,,,,,,,
Cedar Springs Behavioral Health Services (010507): November 2020,2021-06-24,Healthcare - Psychiatric Hospital,,El Paso,2020-11-17,21,69,,,,,90,0,,,,,,,
Centennial Academy of Fine Arts Education: November 2020,2020-12-08,School K-12,,Arapahoe,2020-11-17,,2,2,,,,4,0,,,,,,,
Challenger Middle School: November 2020,2020-12-15,School K-12,,El Paso,2020-11-17,,1,1,,,,2,0,,,,,,,
Children's Garden Montessori,2020-12-17,School K-12,,Denver,2020-11-17,,2,1,,,,3,0,,,,,,,
City of Arvada Water S&A group,2020-12-03,Municipal/Local Government,"Municipality- warehouse, maintenance and office ",Jefferson,2020-11-17,,2,,,,,2,0,,,,,,,
Collegiate Academy of Colorado: November 2020,2021-01-05,School K-12,,Jefferson,2020-11-17,,2,3,,,,5,0,,,,,,,
Colorado Springs Utilities,2021-01-04,Municipal/Local Government,Electric/Water Utilities Company,El Paso,2020-11-17,,4,,,,,4,0,,,,,,,
Community College of Aurora-West Quad. Biology Labs,2020-12-08,College/University,,Arapahoe,2020-11-17,,,2,,,,2,0,,,,,,,
Community Reach Center/Behavioral Health Urgent Care,2020-12-09,Healthcare - Outpatient,Behavioral Health Center,Adams,2020-11-17,,2,,,,,2,0,,,,,,,
Corpus Christi Catholic School: November 2020,2020-12-17,School K-12,,El Paso,2020-11-17,,1,2,,,,3,0,,,,,,,
Cost Cutters - Center Place at Greeley,2020-12-11,Personal Services,Hair Salon,Weld,2020-11-17,,2,,,,,2,0,,,,,,,
D'Evelyn Jr/Sr High School: November 2020,2020-12-03,School K-12,,Jefferson,2020-11-17,,,10,,,,10,0,,,,,,,
Edison Elementary School: November 2020,2020-12-16,School K-12,,Denver,2020-11-17,,1,4,,,,5,0,,,,,,,
Encompass Health Rehab Hospital of Colorado Springs: November 2020,2021-01-10,Healthcare - Rehab Facility,,El Paso,2020-11-17,3,13,,,,,16,0,,,,,,,
Faith Christian High School: November 2020,2020-12-11,School K-12,,Jefferson,2020-11-17,,,3,,,,3,0,,,,,,,
First Bank - 12345 W Colfax Lakewood: November 2020,2021-03-15,Office/Indoor Workspace,,Jefferson,2020-11-17,,30,,,,,30,0,,,,,,,
First Bank - Evergreen,2020-12-08,Office/Indoor Workspace,,Jefferson,2020-11-17,,2,,,,,2,0,,,,,,,
Fountain Middle School: November 2020,2020-12-14,School K-12,,El Paso,2020-11-17,,1,2,,,,3,0,,,,,,,
Fountain- Fort Carson High School: November 2020,2020-12-14,School K-12,,El Paso,2020-11-17,,,5,,,,5,0,,,,,,,
FRE Composites USA,2021-01-26,Non-Food Manufacturer/Warehouse,Plastics Fabrication,Pueblo,2020-11-17,,4,,,,,4,0,,,,,,,
Golden View Assisted Living (230664): November 2020,2020-12-22,Healthcare - Assisted Living,,Pueblo,2020-11-17,9,1,,,,,10,0,,,,,,,
Goodwill- Greeley,2020-12-12,Retailer,,Weld,2020-11-17,,13,,,,,13,0,,,,,,,
Hidden Lake Pharmacy,2021-01-11,Healthcare - Outpatient,Pharmacy,Jefferson,2020-11-17,,3,,,,,3,0,,,,,,,
Highland Tavern ,2020-12-10,Restaurant - Sit Down,,Denver,2020-11-17,,5,,,,,5,0,,,,,,,
Housing Catalyst,2020-12-11,Office/Indoor Workspace,,Larimer,2020-11-17,,4,,,,,4,0,,,,,,,
Interim HealthCare of Pueblo,2020-12-22,Healthcare - Outpatient,Home Health Agency,Pueblo,2020-11-17,,7,,,,,7,0,,,,,,,
Invitae,2021-01-08,Other,Genomics company,Boulder,2020-11-17,,6,,,,,6,0,,,,,,,
James Irwin Charter Schools: November 2020,2020-12-05,School K-12,,El Paso,2020-11-17,,1,1,,,,2,0,,,,,,,
Janitell Junior High School: November 2020,2020-12-14,School K-12,,El Paso,2020-11-17,,2,,,,,2,0,,,,,,,
Jefferson County Head Start: November 2020 ,2020-12-15,Child Care Center,,Jefferson,2020-11-17,,1,1,,,,2,0,,,,,,,
JumpStart Autism Center,2020-12-16,Healthcare - Facility for Developmentally Disabled,Outpatient Behavioral Health,Douglas,2020-11-17,4,15,,,,,19,0,,,,,,,
Larimer County Jail: December 2020,2021-05-17,Jail,,Larimer,2020-11-17,58,32,,,,,90,0,,,,,,,
Legacy Peak Elementary School: November 2020,2020-12-15,School K-12,,El Paso,2020-11-17,,5,,,,,5,0,,,,,,,
Liberty High School: November 2020,2020-12-14,School K-12,,El Paso,2020-11-17,,2,2,,,,4,0,,,,,,,
Monte Vista Shell Station,2020-12-12,Convenience/Corner Store,,Rio Grande,2020-11-17,,4,,,,,4,0,,,,,,,
Natural Grocers Corporate Office,2020-12-03,Office/Indoor Workspace,,Jefferson,2020-11-17,,2,,,,,2,0,,,,,,,
North Shore Health & Rehab Facility (020331): November 2020,2021-01-28,Healthcare - Nursing Facility,,Larimer,2020-11-17,43,114,,7,,,157,7,,,,,,,
Overtime Sports Bar and Grill,2020-12-02,Bar/Tavern/Brewery,,El Paso,2020-11-17,,6,,,,,6,0,,,,,,,
Palisades Living Center (021137): November 2020,2021-03-09,Healthcare - Assisted Living,,Mesa,2020-11-17,39,46,,7,,,85,7,,,,,,,
Park Tavern,2020-12-16,Bar/Tavern/Brewery,,Denver,2020-11-17,,6,,,,,6,0,,,,,,,
Patriot Elementary School: November 2020,2020-12-14,School K-12,,El Paso,2020-11-17,,2,,,,,2,0,,,,,,,
PB & T Bank,2021-01-26,Office/Indoor Workspace,,Pueblo,2020-11-17,,19,,,,,19,0,,,,,,,
Peak View Behavioral Health,2021-03-07,Healthcare - Psychiatric Hospital,,El Paso,2020-11-17,13,45,,,,,58,0,,,,,,,
Pioneer Elementary School - Colorado Springs,2020-12-14,School K-12,,El Paso,2020-11-17,,1,1,,,,2,0,,,,,,,
Plum Creek Academy,2020-12-08,School K-12,,Douglas,2020-11-17,,4,1,,,,5,0,,,,,,,
Ponderosa Vet Clinic,2020-12-15,Other,Veterinary Clinic,El Paso,2020-11-17,,5,,,,,5,0,,,,,,,
Puckhogs,2020-12-10,Adult Sports Club/Team,,Larimer,2020-11-17,,,12,,,,12,0,,,,,,,
Pueblo County Treasurer,2020-12-09,Municipal/Local Government,,Pueblo,2020-11-17,,2,,,,,2,0,,,,,,,
Ridgeview Post Acute (020404): November 2020,2020-12-09,Healthcare - Nursing Facility,,Adams,2020-11-17,3,16,,,,,19,0,,,,,,,
Rock Canyon High School: November 2020,2020-12-19,School K-12,,Douglas,2020-11-17,,,23,,,,23,0,,,,,,,
Rocky Mountain Children's Discovery Center: November 2020,2020-12-14,Child Care Center,,Fremont,2020-11-17,,4,3,,,,7,0,,,,,,,
Rocky Mountain Metal Container- 32nd Ave Facility,2020-12-25,Non-Food Manufacturer/Warehouse,,Jefferson,2020-11-17,,17,,,,,17,0,,,,,,,
Safeway #1760: November 2020,2021-02-19,Grocery Store,,Pueblo,2020-11-17,,2,,,,,2,0,,,,,,,
Schmitt Elementary School: November 2020,2020-12-17,School K-12,,Denver,2020-11-17,,3,,,,,3,0,,,,,,,
Semper Elementary School,2020-12-15,School K-12,,Jefferson,2020-11-17,,1,1,,,,2,0,,,,,,,
Sheridan School District Transportation Building,2020-12-29,School Administration,,Arapahoe,2020-11-17,,5,,,,,5,0,,,,,,,
Skyline Products,2021-02-11,Non-Food Manufacturer/Warehouse,Manufactures Electronic Price Signs,El Paso,2020-11-17,,22,,,,,22,0,,,,,,,
Springs of Life Children's Center - Uintah & Delaware,2020-12-15,Child Care Center,,El Paso,2020-11-17,,4,1,,,,5,0,,,,,,,
St. Anthony Hospital - Emergency Department,2020-12-07,Healthcare - Acute Care Hospital,,Jefferson,2020-11-17,,3,,,,,3,0,,,,,,,
St. Vincent de Paul Catholic School: November 2020,2020-12-17,School K-12,,Denver,2020-11-17,,,4,,,,4,0,,,,,,,
Sunstate Equipment,2020-12-03,Other,Construction Equipment Rental/Sales,Larimer,2020-11-17,,7,,,,,7,0,,,,,,,
Target- Thornton ,2021-02-28,Retailer,,Adams,2020-11-17,,45,,,,,45,0,,,,,,,
Texas Roadhouse- Denver,2021-02-01,Restaurant - Sit Down,,Denver,2020-11-17,,8,,,,,8,0,,,,,,,
The Fountains of Hilltop (2311QA): November 2020,2020-12-18,Healthcare - Assisted Living,,Mesa,2020-11-17,2,6,,,,,8,0,,,,,,,
The Lodge at Grand Junction (23W782): November 2020,2021-01-21,Healthcare - Assisted Living,,Mesa,2020-11-17,11,15,,2,,,26,2,,,,,,,
The Urology Center of Colorado,2021-01-26,Healthcare - Outpatient,Urology Center,Denver,2020-11-17,,17,,,,,17,0,,,,,,,
Triple Crown Sports,2020-12-22,Office/Indoor Workspace,,Larimer,2020-11-17,,7,,,,,7,0,,,,,,,
TwoCor Projects,2020-12-11,Other,Treatment Organization for Youth,El Paso,2020-11-17,,3,,,,,3,0,,,,,,,
Utility Control & Equipment Corp,2020-12-05,Non-Food Manufacturer/Warehouse,,Jefferson,2020-11-17,,2,,,,,2,0,,,,,,,
Valley Christian Academy: November 2020,2021-02-01,School K-12,,El Paso,2020-11-17,,6,1,,,,7,0,,,,,,,
"Valley View Health Care Center, Inc (020643): December 2020",2021-02-03,Healthcare - Nursing Facility,,Fremont,2020-11-17,38,34,,6,,,72,6,,,,,,,
Vectra Bank Colorado,2021-02-05,Office/Indoor Workspace,,Pueblo,2020-11-17,,3,,,,,3,0,,,,,,,
Vestas Blades America - Windsor: November 2020,2021-02-09,Materials Supplier,,Weld,2020-11-17,,48,,,,,48,0,,,,,,,
Watson Junior High School: November 2020,2020-12-15,School K-12,,El Paso,2020-11-17,,1,1,,,,2,0,,,,,,,
West Grand High School: November 2020,2020-12-08,School K-12,,Grand,2020-11-17,,4,1,,,,5,0,,,,,,,
Accel at Longmont (02V342): October 2020,2021-01-29,Healthcare - Nursing Facility,,Boulder,2020-11-18,17,28,,2,,,45,2,,,,,,,
Bank of the West - Arvada,2020-12-03,Office/Indoor Workspace,,Jefferson,2020-11-18,,2,,,,,2,0,,,,,,,
Bent County Correctional Facility: November 2020,2021-04-14,State Prison,,Colorado,2020-11-18,1091,97,,2,,,1188,2,,,,,,,
Black Canyon Inn,2020-12-15,Hotel/Lodge/Resort,Resort/Guest Condo Rental,Larimer,2020-11-18,,7,,,,,7,0,,,,,,,
Blackstone Country Club,2020-12-21,Other,Country Club,Arapahoe,2020-11-18,,8,,,,,8,0,,,,,,,
Blevins Middle School,2021-03-30,School K-12,,Larimer,2020-11-18,,7,16,,,,23,0,,,,,,,
Boulder Scientific Company,2021-02-11,Non-Food Manufacturer/Warehouse,,Weld,2020-11-18,,12,,,,,12,0,,,,,,,
Burlington Elementary School - Burlington,2020-12-09,School K-12,,Kit Carson,2020-11-18,,12,,,,,12,0,,,,,,,
Burlington High School: November 2020,2020-12-10,School K-12,,Kit Carson,2020-11-18,,5,5,,,,10,0,,,,,,,
Catholic Charities Kentucky Head Start,2020-12-15,Child Care Center,,Denver,2020-11-18,,4,,,,,4,0,,,,,,,
Chick-fil-A - Park Meadows on County Line Rd - #00452,2020-12-02,Restaurant - Fast Food,,Douglas,2020-11-18,,7,,,,,7,0,,,,,,,
Chubby's Original,2020-12-07,Restaurant - Fast Food,,Denver,2020-11-18,,4,,,,,4,0,,,,,,,
Clear Creek Care Center (020401): November 2020,2020-12-16,Healthcare - Nursing Facility,,Adams,2020-11-18,4,9,,1,,,13,1,,,,,,,
Colorado Springs Police Department - Sandcreek Division: October 2020,2021-02-09,Law Enforcement - Other,,El Paso,2020-11-18,,23,,,,,23,0,,,,,,,
Columbine West Health & Rehab Facility (020335): November 2020,2021-02-11,Healthcare - Nursing Facility,,Larimer,2020-11-18,25,36,,4,,,61,4,,,,,,,
Cripple Creek-Victor Junior-Senior High School: November 2020,2020-12-18,School K-12,,Teller,2020-11-18,,2,6,,,,8,0,,,,,,,
CU Sheridan Health Services,2020-12-18,Healthcare - Outpatient,Health Center,Denver,2020-11-18,,6,,,,,6,0,,,,,,,
East Larimer County (ELCO) Water District,2020-12-05,Municipal/Local Government,Water utility company,Larimer,2020-11-18,,2,,,,,2,0,,,,,,,
Embassy Suites by Hilton - Denver,2020-12-16,Hotel/Lodge/Resort,,Denver,2020-11-18,,7,,,,,7,0,,,,,,,
Empire Beauty School - Littleton,2020-12-21,Trade School,,Jefferson,2020-11-18,,3,2,,,,5,0,,,,,,,
Greeley Office of the Colorado State Public Defender,2020-12-07,Municipal/Local Government,,Weld,2020-11-18,,3,,,,,3,0,,,,,,,
Harmony Home - Holly (23V260): November 2020,2020-12-22,Healthcare - Assisted Living,,Logan,2020-11-18,9,8,,2,,,17,2,,,,,,,
"Headhunter Strings, Inc.",2020-12-23,Non-Food Manufacturer/Warehouse,,Rio Blanco,2020-11-18,,2,,,,,2,0,,,,,,,
Hearts and Horses Therapeutic Riding Center ,2020-12-14,Outdoor Entertainment/Rec,,Larimer,2020-11-18,,4,,,,,4,0,,,,,,,
J.E. Dunn General Contractor: University of Colorado Denver First Year Student Housing Job Site,2021-02-11,Construction Site,,Denver,2020-11-18,,6,,,,,6,0,,,,,,,
Johnson Elementary School- Denver,2020-12-16,School K-12,,Denver,2020-11-18,,1,1,,,,2,0,,,,,,,
Kavod Senior Life Independent Living,2021-04-07,Healthcare - Independent Living Facility,,Denver,2020-11-18,30,8,,,,,38,0,,,,,,,
Kidney Center of Arvada,2020-12-29,Healthcare - Dialysis,,Jefferson,2020-11-18,,4,,,,,4,0,,,,,,,
Longmont High School: November 2020,2021-01-10,School K-12,,Boulder,2020-11-18,,7,8,,,,15,0,,,,,,,
Marie L. Greenwood Academy,2020-12-16,School K-12,,Denver,2020-11-18,,,2,,,,2,0,,,,,,,
McAuliffe International School: November 2020,2020-12-10,School K-12,,Denver,2020-11-18,,6,,,,,6,0,,,,,,,
McGlone Academy: November 2020,2020-12-15,School K-12,,Denver,2020-11-18,,,2,,,,2,0,,,,,,,
New Century Hospice,2021-01-12,Healthcare - Hospice,,El Paso,2020-11-18,,10,,,,,10,0,,,,,,,
North High School: November 2020,2020-12-10,School K-12,,Denver,2020-11-18,,,4,,,,4,0,,,,,,,
Orchard Valley Learning Center: November 2020,2021-01-07,Child Care Center,,Arapahoe,2020-11-18,,9,1,,,,10,0,,,,,,,
Rising Star Early Learning Center: November 2020,2020-12-16,Child Care Center,,Arapahoe,2020-11-18,,6,4,,,,10,0,,,,,,,
Salvation Army - Headquarters,2020-12-21,Office/Indoor Workspace,,Denver,2020-11-18,,5,,,,,5,0,,,,,,,
Sheffield Metals,2020-10-22,Materials Supplier,,Denver,2020-11-18,,5,,,,,5,0,,,,,,,
Urban Farmer,2020-12-23,Restaurant - Sit Down,,Denver,2020-11-18,,6,,,,,6,0,,,,,,,
Wendy's- Denver,2021-02-09,Restaurant - Fast Food,,Denver,2020-11-18,,7,,,,,7,0,,,,,,,
Whole Foods Market - Southglenn,2020-12-31,Grocery Store,,Arapahoe,2020-11-18,,14,,,,,14,0,,,,,,,
Albertsons #0816: November 2020,2021-02-19,Grocery Store,,Pueblo,2020-11-19,,4,,,,,4,0,,,,,,,
Alternative Homes for Youth: November 2020,2021-01-06,Group home - Children's,Residential Treatment Facility for Youth,Weld,2020-11-19,7,6,,,,,13,0,,,,,,,
Applebee's- Durango,2020-12-09,Restaurant - Sit Down,,La Plata,2020-11-19,,5,,,,,5,0,,,,,,,
Applewood Our House Assisted Living Facility 5 (23R660): October 2020,2020-11-05,Healthcare - Assisted Living,,Jefferson,2020-11-19,4,3,,,,,7,0,,,,,,,
Applewood Our House Assisted Living Facility III (23D697): October 2020,2020-11-22,Healthcare - Assisted Living,,Jefferson,2020-11-19,14,2,,,,,16,0,,,,,,,
Automotive Avenues ,2020-12-31,Retailer,,Jefferson,2020-11-19,,5,,,,,5,0,,,,,,,
Bishop Machebeuf Catholic High School: November 2020,2020-12-11,School K-12,,Denver,2020-11-19,,,2,,,,2,0,,,,,,,
Bison Innovative Products,2020-12-16,Non-Food Manufacturer/Warehouse,,Denver,2020-11-19,,5,,,,,5,0,,,,,,,
Central Colorado Title & Escrow,2020-12-15,Office/Indoor Workspace,,Chaffee,2020-11-19,,2,,,,,2,0,,,,,,,
Cripple Creek - Victor Elementary School,2020-12-15,School K-12,,Teller,2020-11-19,,3,2,,,,5,0,,,,,,,
Ernies (11th St Station),2020-12-09,Restaurant - Sit Down,,La Plata,2020-11-19,,5,,,,,5,0,,,,,,,
Glaser Energy,2020-12-11,Office/Indoor Workspace,,Teller,2020-11-19,,3,,,,,3,0,,,,,,,
Habitat for Humanity ReStore- Denver,2020-12-30,Retailer,,Denver,2020-11-19,,4,,,,,4,0,,,,,,,
Heritage Park Care Center (020845): November 2020,2021-01-19,Healthcare - Nursing Facility,,Garfield,2020-11-19,6,19,,,,,25,0,,,,,,,
International School of Denver: November 2020,2020-12-18,School K-12,,Denver,2020-11-19,,,3,,,,3,0,,,,,,,
Little People's Landing - Loveland: December 2020,2020-12-20,Child Care Center,,Larimer,2020-11-19,,7,,,,,7,0,,,,,,,
Lowes #2568,2020-12-19,Retailer,,Larimer,2020-11-19,,6,,,,,6,0,,,,,,,
