cutoff,block.mse,block.mse.0,block.mse.last
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,3.33991318254506,0.825041355562566,0.65240654130842
59,4.26594442124226,0.964808701725936,0.800601919706266
60,3.5887143402397,0.816430623142056,0.643402515710391
61,2.41477907864946,0.740322155441761,0.621321399213152
62,2.02310047848928,0.797903130605349,0.686446160495693
63,2.07264610008357,0.715063584310901,0.595318721141734
64,2.16983363214011,0.359032244003682,0.300988836744502
65,2.38766359233584,0.218616934621112,0.183526657570731
66,3.47949686958241,0.293974502941058,0.258838929164175
67,3.79861175726162,0.347090802714925,0.315888473038414
68,3.94932917367187,0.34487850164646,0.329546317391512
69,3.6183572152799,0.329333102213216,0.315108231338136
70,3.31970960555315,0.31353118186787,0.293970083858067
71,2.938086236242,0.254273327339737,0.239118207651825
72,3.01845781187238,0.273106235399418,0.261851085820384
73,2.91529701682012,0.281033393294807,0.270320706754452
74,2.65022803838347,0.26252542153784,0.251454535360591
75,2.20728352604532,0.223864063048637,0.212401800693018
76,1.92755616425391,0.19805518153317,0.188421035058188
77,1.80295267377169,0.188230339362961,0.180031267700861
78,1.60183589272112,0.170380790351665,0.163524280013121
79,1.49540138980437,0.164865751038919,0.159704106222532
80,1.39765131652765,0.164660437667521,0.15909011941511
81,1.32712414653986,0.168395171398634,0.16298603513629
82,1.06301578709382,0.13452774996678,0.12915730141231
83,0.929638182201852,0.122658555308005,0.118201698743094
84,0.825589256302741,0.114876422930807,0.110693868685989
85,0.724161395104206,0.104701026559247,0.101023985865786
86,0.641368723372121,0.0981579225335353,0.0945775732409608
87,0.575054860198144,0.095314538663554,0.0921241428249156
88,0.47356408101262,0.0853422263914629,0.0821362917408911
89,0.414302931054376,0.082698576148527,0.0795623541466294
90,0.35785911646689,0.0809672789932932,0.0768776051527756
91,0.296277092528467,0.0750821108053692,0.0712387438551748
92,0.265635374371379,0.0731954516325753,0.0686253727885582
93,0.228268170942331,0.0683330895372153,0.0636420169887049
94,0.201246000405664,0.0618789670905861,0.0574570516780475
95,0.177827890696175,0.0586705516410262,0.0542965750937146
96,0.163466234924013,0.0578362930377477,0.0535992410434622
97,0.146682463626998,0.053343045296854,0.050345058003266
98,0.138518502935838,0.0573232237278951,0.0535024775417418
99,0.126772754605348,0.0560326355834712,0.0531625660171205
100,0.13311061547713,0.0597419622030417,0.0552993235091534
101,0.130628441110642,0.0570719516295952,0.0539215951731254
102,0.134585827249169,0.0523194197697183,0.0504154427202797
103,0.124833357061738,0.0505396341317804,0.0482809912944139
104,0.132735418786104,0.0537619421081977,0.0528141285753792
105,0.139586321287605,0.0582083151522713,0.0568767781071297
106,0.133451916141506,0.0555811532609451,0.053353425783032
107,0.121587292870311,0.0527503888073615,0.0503651243652105
108,0.119115717004516,0.0448958095098155,0.0417823072643372
109,0.112102038821278,0.0398364199335872,0.0386050377277532
110,0.122997632074952,0.0404156641439742,0.0403306621064209
111,0.12116732065007,0.0418948359851122,0.0414618146317601
112,0.135722617442553,0.0446545625905443,0.0447273219708117
113,0.126345085030046,0.0452644808477811,0.0449375854982663
114,0.133638694905702,0.0464946385144473,0.0463187775820728
115,0.122342099389117,0.0437549398514778,0.0431774754206697
116,0.124602880331781,0.0472368634182415,0.0460352323395365
117,0.122998088459777,0.0477140878310782,0.0464381169455403
118,0.115328675322727,0.0472045736788247,0.0464341574624102
119,0.111219523229081,0.0457859468151595,0.0453825129838129
120,0.116401541803508,0.0501841368242675,0.049414774748102
121,0.108172418222445,0.0511760438210494,0.0497025096006026
122,0.103148104816566,0.0474404626361394,0.0465820324404578
123,0.102667981348247,0.0482287295749132,0.0476590047816482
124,0.10482835291851,0.0498009054362129,0.0496182429310802
125,0.101949436824011,0.0456765480695988,0.0447644099578007
126,0.103855031005142,0.0490444219377633,0.0481885178435786
127,0.104433406435656,0.0489854994764329,0.0479748122813896
128,0.0977676779094644,0.0458240799935828,0.0450272969242352
129,0.105178499816306,0.0489198362849572,0.0476675755352907
130,0.102689038347783,0.0480810817671752,0.0474875593332591
131,0.111349919650141,0.0498741680679577,0.0496625003357682
132,0.107257233174158,0.0509437838756323,0.050487994844199
133,0.114268499002577,0.0554646280916672,0.0550973328284524
134,0.112199924423756,0.0541978595173146,0.05322211720266
135,0.110480936291786,0.0506387758231162,0.0496026052027647
136,0.115509506684821,0.0500272980149314,0.0491548141332561
137,0.110884617304216,0.0487495821737276,0.0487832501277056
138,0.109286998106255,0.0478397621116481,0.0473394595597767
139,0.108096160589053,0.0495279543760703,0.0479949683817918
140,0.10833938758269,0.0460698714174451,0.045360511120161
141,0.105667561519629,0.0481532554660763,0.0473355349979032
142,0.108234146696553,0.0466955971208917,0.0461929383810053
143,0.104709905624098,0.0433684393580608,0.0431630694055934
144,0.105876439064059,0.0437908463837936,0.0435575517846602
145,0.107019837042263,0.0462405339774142,0.0464731987046052
146,0.109951506749195,0.050661679216634,0.050365561725016
147,0.102243445196531,0.0531263641953333,0.0512937227834539
148,0.112467875144126,0.0572496936331167,0.0558317988068675
149,0.105860717473321,0.0581463062144333,0.0568782706743779
150,0.105237394501032,0.0530889655411958,0.0510222527283242
151,0.0978815749406007,0.0470093342259636,0.0454567872542583
152,0.100601286857697,0.0489553497611288,0.0485290660401575
153,0.111660170757821,0.0533804665277247,0.0532573282084232
154,0.106973134931129,0.0507405129312823,0.0457267064815125
155,0.106243299939322,0.0468916397035138,0.0448594503297996
156,0.112308059293682,0.0489661137234976,0.0488284562925272
157,0.108942560901049,0.0456984829237507,0.0447461413747923
158,0.113845033616297,0.0490184347103979,0.0482444583165858
159,0.132509509761716,0.062312044031055,0.0612007190380342
160,0.124655820873361,0.0541318892447628,0.0531307642092967
161,0.131250687456915,0.0509027575170178,0.049214861072268
162,0.135343752106323,0.0517629556538558,0.0505915508922814
163,0.131064494970674,0.0450407295056117,0.0447045836044657
164,0.128757627777009,0.0431392507666466,0.042758142787546
165,0.138431321619021,0.0435670836795336,0.0427734386758612
166,0.136325123123028,0.0428477331601547,0.0432820066548297
167,0.139810691661303,0.0460907628254858,0.0466583439357412
168,0.123806268583102,0.0380733762715803,0.0379087802139187
169,0.132472674914487,0.0401121136168934,0.0402579335513269
170,0.130593961022241,0.0389745373140816,0.038603345004051
171,0.137533599324358,0.0393642079377898,0.0394941787586069
172,0.120705247362273,0.032987317390712,0.0324532275476454
173,0.123213927877168,0.0329274226020736,0.0324519455900221
174,0.121049098845678,0.035116295557223,0.0347267751546436
175,0.11253040718646,0.0352262650946221,0.0348792184145736
176,0.112715864768547,0.0325891961144538,0.0322783194391304
177,0.106684592523002,0.0312766296757454,0.0308106711519349
178,0.114476780231754,0.0315240523580843,0.0312015250538238
179,0.11366329194774,0.0279407691721174,0.027421790482229
180,0.121482048173835,0.0291323563985456,0.029219879559611
181,0.126338832498406,0.0290338642061832,0.0293223701119274
182,0.131372636415014,0.0310439922113561,0.0315197561494684
183,0.12710582984977,0.0309316443529193,0.0308162752574518
184,0.126230118283549,0.0307390215266392,0.0306012574066452
185,0.114943122691263,0.0289226779182026,0.0288505648971721
186,0.111367551752418,0.0281203333958099,0.0277674356157984
187,0.105071026891359,0.0244330772440928,0.024197095451532
188,0.104931903782097,0.0253467410463101,0.025217779297304
189,0.103675727024994,0.0261375246843463,0.0260231767819944
190,0.0993449066206772,0.0260769623941304,0.0262536486753204
191,0.0995770940206982,0.0269767236711962,0.027185845679231
192,0.0923108670995898,0.0251862082981137,0.0251589640645331
193,0.0906408195768895,0.0243096067885189,0.0239683798153927
194,0.0892183863849794,0.024062099749295,0.0237698322165869
195,0.0902956341287531,0.0249221046394971,0.0247948672035186
196,0.0924206125202402,0.0263428548100829,0.0264647890565873
197,0.0915022497232646,0.0264630471637617,0.026459470099223
198,0.090832510548592,0.0273274174683915,0.0272127051184116
199,0.0857457568447969,0.0269345764718836,0.0266788970986843
200,0.0795907553377158,0.0258730246617313,0.0255352157918773
201,0.0702856918127861,0.0246941568842656,0.0244264112346911
202,0.0635838724886129,0.0240573348195525,0.0238195305534542
203,0.0585233052668177,0.0244376797538394,0.0242096657577539
204,0.0543192307021542,0.0247587804861888,0.0245000777949758
205,0.0512835089728137,0.0238783001214833,0.0240204234410823
206,0.0491875098629463,0.0230471599923954,0.022991211792865
207,0.0494742217727855,0.0239400951629809,0.0239238896861877
208,0.0506941048685539,0.0258095051785591,0.0254662535498462
209,0.0536876844448369,0.0279638336267328,0.0275937924816464
210,0.0520303230724306,0.0259620248376125,0.0257164576416205
211,0.0541367151173612,0.0274458131856509,0.0271062200458434
212,0.0534697074104871,0.0268387398198281,0.0260922375948604
213,0.0522258304487712,0.0259642137450382,0.025500519479806
214,0.0511050703392503,0.0257808927655125,0.0254631105217124
215,0.0514175365559733,0.0243661896415551,0.0243151358014721
216,0.0552943558340324,0.0282372933068578,0.028170337257775
217,0.0533715880935744,0.0260681554455948,0.0260810744003601
218,0.0545703714391338,0.0268754873895233,0.0268242393716824
219,0.0541101673068683,0.027021482489501,0.0269783628576578
220,0.055152281372239,0.0283161665026987,0.0281708013526354
221,0.058510155575276,0.0300581393359659,0.0299213014101703
222,0.0610826655644591,0.0319053758382961,0.0321877526979732
223,0.06651012047192,0.0366724443199304,0.0381745684146496
224,0.0592632873252728,0.0343556259030077,0.0334640464494215
