cutoff,block.mape,block.mape.0,block.mape.last
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,0.36583336695675,0.172908043882061,0.156007800039511
59,0.347044003003483,0.16211992004657,0.149714479864614
60,0.285428407878743,0.12907681779546,0.113526840796606
61,0.26389067236737,0.130305563316215,0.118414966429505
62,0.232768042355605,0.136849525139035,0.126596544543919
63,0.221213545738974,0.126356374498585,0.112226607152209
64,0.249592146227118,0.0904697992969127,0.0819446125531775
65,0.254916709542651,0.0661342096780952,0.0599669574793923
66,0.315893447580841,0.0813633855453713,0.0766793767833607
67,0.3289210790216,0.0886360206382543,0.0847986665945729
68,0.331553135009249,0.0918058191023341,0.0893309317442681
69,0.334695584877995,0.0962627315687261,0.0934554524958209
70,0.309059629049089,0.0850358387485246,0.0820889700237105
71,0.309127825367941,0.0823676591271326,0.0797439042002515
72,0.314744383421213,0.0905406539560978,0.0882055717304809
73,0.311232716527057,0.0933790683166708,0.091315242483065
74,0.288274086355683,0.0855781209633962,0.0838675582816096
75,0.275564333562042,0.0852208562743428,0.0824635085922643
76,0.259549911314755,0.0800241037651054,0.0776705723564232
77,0.249600427924308,0.0761723278243777,0.0744906243917445
78,0.237687022382628,0.074034097815279,0.0725284670396113
79,0.233090084467731,0.075479658698599,0.0738640770684122
80,0.227556329191903,0.0758379212448032,0.074033635332256
81,0.221717809260384,0.0768018807291873,0.0751076792550668
82,0.20091619301227,0.0684752659608932,0.0668703510088922
83,0.189542292285632,0.0658951335813927,0.0643966309799308
84,0.180485099473221,0.0645832407057471,0.0632065519046491
85,0.168458189824679,0.0613875399063674,0.060295637547089
86,0.160732094775619,0.0606754548930637,0.0596023521476158
87,0.156067597671648,0.0619866145246769,0.0607726900989944
88,0.140695764788663,0.0574020582963514,0.0562558399771163
89,0.13157243517096,0.0548681423311501,0.0537642225293878
90,0.123199857113994,0.0534963176625855,0.0522787931760165
91,0.111594145027785,0.050216127073612,0.0491244790754889
92,0.10672993314083,0.0502013929678034,0.0490450030846834
93,0.0977781667527482,0.0478528270802868,0.0466781135574566
94,0.0900848310832455,0.0457748988710718,0.044624430849264
95,0.0851874845182328,0.045021072505838,0.0438469422953338
96,0.0800146130165614,0.0444586748650354,0.0431669197949919
97,0.0734483415187661,0.0424136532129302,0.0413296827214066
98,0.070455046246766,0.0428568444057675,0.0419645378789424
99,0.066471042955,0.0423806806417747,0.0415734869989049
100,0.065386762622293,0.0429994397640897,0.04203598617093
101,0.0654081422078936,0.0422069428924399,0.0412267932197517
102,0.0627999870432978,0.0403597055246241,0.0395103936994327
103,0.0579619242795426,0.0370112637198956,0.0364262243968722
104,0.0594173691316824,0.0381834712651106,0.03781090429475
105,0.0603244105789817,0.0382638709042268,0.0378970299888872
106,0.0599266236163454,0.0381912438652372,0.0377041658982358
107,0.0581111828759681,0.0368433352789398,0.0363708159040112
108,0.0562118446772237,0.03446778616204,0.0340036991087448
109,0.0559208434922529,0.0329277451107514,0.0325816126078334
110,0.0579403949802715,0.0330398090431889,0.0329176191655488
111,0.0588557419189626,0.0339660168369074,0.0336519205234068
112,0.0602970097517119,0.034477471990009,0.0343878048050331
113,0.0604378247894633,0.0352940045997112,0.0351835863410827
114,0.0606715876126795,0.0354645698531526,0.0353561112361196
115,0.0593338750013331,0.0344130630189289,0.0341702519255482
116,0.0589920993105684,0.0346705152016237,0.0342254745308054
117,0.0582995990418393,0.0351380197236303,0.0346621916862798
118,0.0580869069736899,0.0355913927815569,0.0352992056543468
119,0.0580304317080432,0.0355204815207547,0.0354860543596591
120,0.0585548161642277,0.0372344584500584,0.0370180752584887
121,0.0585162848577905,0.0366800151177511,0.0363431246151933
122,0.0551225349638454,0.0353145781039628,0.034976860657461
123,0.0552675267902543,0.0353856994129214,0.0351726773776219
124,0.054235053695784,0.0356657502278202,0.0354919320436367
125,0.0536297904015533,0.0354392366067104,0.0350986756859259
126,0.0552349787622152,0.0360517491353796,0.035779271891559
127,0.0566626743465614,0.0365664396738948,0.0362307616333409
128,0.0561330210359195,0.035611507108478,0.0354731777532841
129,0.0568427530534606,0.0356253128575961,0.0352261110129592
130,0.0552060803944046,0.0344465058273199,0.0343144535243031
131,0.0567200822535487,0.0351557590891024,0.0352646936794922
132,0.0567482064385607,0.0361136345586754,0.0359770614798679
133,0.057502247321998,0.0362856026765609,0.0363209683384216
134,0.0565285995733413,0.0358856604917124,0.0357915237674963
135,0.0566810574987532,0.035231379416116,0.0351533192733573
136,0.0570095014968033,0.0343809187603627,0.0341306546616858
137,0.0574553641548597,0.0344202159331827,0.0344091004195587
138,0.0576758490869742,0.0347488118866881,0.0345870591011608
139,0.0585118730958343,0.0364710605094252,0.0362882855429581
140,0.0566133825635121,0.035556840598953,0.0354481653822904
141,0.0558700988517772,0.0361837697268066,0.0358926147295399
142,0.056492241569413,0.0351447009658785,0.0349752747929482
143,0.0544512372162988,0.0341304395493797,0.034116258928463
144,0.0555843571157173,0.0341965013833658,0.0341805466159761
145,0.0556361108955872,0.0353802652436687,0.0355144015186981
146,0.0547216311893085,0.0358039921116844,0.0358399559196657
147,0.0544283337190455,0.0373422025596379,0.0369811420740161
148,0.0573578017100041,0.0391101454458685,0.0388321487701343
149,0.0561913430863946,0.0374956741563867,0.0372429656037293
150,0.057425187278994,0.036497182498629,0.0360866113457847
151,0.0552595418946491,0.0344628571351746,0.0339271529960695
152,0.0544889377857705,0.0345493647720396,0.0342436477046131
153,0.056466557222212,0.035285976083592,0.0352217383059666
154,0.0555012368675106,0.0352600357221111,0.0347584538153747
155,0.0574026426272921,0.0353637385859584,0.0350798421655861
156,0.0598117630368658,0.0366959043689232,0.0365845746749205
157,0.0593933995978889,0.0357575186192582,0.0354667657524859
158,0.0591895486128446,0.0360462210243432,0.0357722979852731
159,0.0624022452402443,0.0379837939665961,0.0377259334945042
160,0.0622862214557979,0.0365424521274021,0.0363843935684471
161,0.0637075897741359,0.0364715889548762,0.0362871142298568
162,0.0657361006350959,0.0368861194637673,0.0367731930508929
163,0.0637731777389323,0.0348168837699612,0.0346536972612025
164,0.062862866067183,0.033382959296209,0.033294903384735
165,0.0641855541354591,0.0337150770763098,0.0335464698991266
166,0.0626002338425523,0.034032484170717,0.0340555205409637
167,0.0618522710762487,0.0343874506222546,0.0342184817089369
168,0.0602452534829854,0.0324201787905345,0.0323008455556325
169,0.0617220727966854,0.0324114483700669,0.032294706318449
170,0.0623414702658892,0.0313159625496383,0.0311345159896249
171,0.063266657298771,0.0308759414595844,0.0308374889866022
172,0.0599042453098019,0.0292682204852629,0.0292354527553449
173,0.0600813231582618,0.0294980606773933,0.0294458232537155
174,0.0585443381850592,0.0302200395286019,0.0300954017119543
175,0.0582229759957141,0.0304145232547935,0.0303828152260453
176,0.0588155675742889,0.0293504117996335,0.0293367194296258
177,0.0572185723051661,0.0290012119373202,0.0289425344365999
178,0.0588888760731159,0.0286528785082829,0.0285217697948183
179,0.0588201588426903,0.0273695260999649,0.0272149073461193
180,0.0607948250812266,0.0279712378184286,0.0279774428611524
181,0.061035924269849,0.0278786464493953,0.027874710793315
182,0.0630491774357077,0.0287423094561338,0.0288578457345994
183,0.0631378924725451,0.0285434821158233,0.0285468303391507
184,0.0625217179845901,0.02823621916284,0.0282758340397279
185,0.059934943404849,0.027371218067705,0.0273876183723236
186,0.0589346809699705,0.0270489103162127,0.026968580510814
187,0.0572096097121752,0.0263888397095832,0.0263176801808933
188,0.0574673424675133,0.0266143749084042,0.0265932469179126
189,0.0584034503790672,0.0269526177366115,0.0269470790815249
190,0.0557575104370138,0.0265871350428519,0.0265796125688567
191,0.0549423279937596,0.0265099061082631,0.0265206781197947
192,0.0539174330477009,0.0261861906749525,0.0261418817452477
193,0.0526298103240896,0.025872599486335,0.025723558512918
194,0.0521342787667083,0.0256965874309052,0.0255860691730284
195,0.0533396100665593,0.0264124210857575,0.0263990401113443
196,0.0529186678369329,0.0269557546736987,0.02697463256185
197,0.0526027291141366,0.0273636397800254,0.0272997863713277
198,0.0516543355943019,0.0275464074600901,0.0274135201053254
199,0.0515138473269674,0.0278893637083431,0.0277825814807385
200,0.0487765052667934,0.0269979930075837,0.0268293572269398
201,0.0455402048748764,0.026378219490317,0.0262422086667047
202,0.0434708035023564,0.0262012561978133,0.0261239765856768
203,0.0415379296178763,0.0263587370716596,0.026243209091923
204,0.0398288559948296,0.0259435295039964,0.0258488970500045
205,0.0381530843016383,0.0250517700828085,0.0250133946451087
206,0.0361899087771497,0.023722440392057,0.0236421787134776
207,0.0361361876863577,0.0239409847880409,0.0238612476885802
208,0.0374864624458279,0.0252155357196351,0.0251243944550701
209,0.0382739338582841,0.0259433304601882,0.0258117871254166
210,0.0381769729507664,0.0257290989155399,0.0257139434006891
211,0.0386072563684781,0.0265692953737592,0.0265009977489778
212,0.0382522286563559,0.0265408350393637,0.0263904594988705
213,0.0380484807430987,0.0258449459729425,0.0257344838135596
214,0.0373556832831553,0.0256651136634954,0.0256003839070381
215,0.0377175496836888,0.0253862548837087,0.025348365074177
216,0.0388980588268901,0.0263554703296636,0.0263352938085486
217,0.0390971084228967,0.0259755601112123,0.0260274699529779
218,0.0401364181916223,0.0265335399017644,0.0265347324616668
219,0.0399059126264809,0.0261418286239078,0.0260794581944514
220,0.0398321081603149,0.026022036400381,0.0259551155205462
