fips,county,state,days_from_start,datetime,log_rolled_cases.x,t0.hat,tau.hat,predicted.grf.future,predicted.grf.future.0,predicted.grf.future.last,Predicted_Double_Days
55011,Buffalo,Wisconsin,623,2021-10-05,5.38841920124522,,-0.0031902539323945,,5.38229014988516,5.36608742371846,-217.270222135475
24510,Baltimore city,Maryland,623,2021-10-05,7.77707419249364,,0.0106295888701156,,7.84963597745926,7.85148131458445,65.2092182519571
20055,Finney,Kansas,623,2021-10-05,5.7319533516229,,0.0069815670521121,,5.81249850063017,5.78082432098769,99.2824641496842
40035,Craig,Oklahoma,623,2021-10-05,5.03230359357538,,-0.0010749541849226,,5.06568092577723,5.02477891428092,-644.815556125149
30015,Chouteau,Montana,623,2021-10-05,4.19827548507033,,-0.0054321452167346,,4.16123545765709,4.16025046855319,-127.601003453404
46081,Lawrence,South Dakota,623,2021-10-05,5.93564976800159,,-0.0077654837325198,,5.90218968818187,5.88129138187395,-89.2600132116981
48153,Floyd,Texas,623,2021-10-05,4.03297561584581,,0.0125661565440538,,4.13350486819824,4.12093871165419,55.1598396956099
15001,Hawaii,Hawaii,623,2021-10-05,7.27853034729965,,-0.0303190518819598,,7.0636913106786,7.06629698412593,-22.8617696641225
28133,Sunflower,Mississippi,623,2021-10-05,5.16804596051072,,0.0021991882666124,,5.19535614228219,5.18344027837701,315.183193309616
45051,Horry,South Carolina,623,2021-10-05,8.58895555764313,,-0.0022499013692478,,8.599866381205,8.5732062480584,-308.078918495728
48319,Mason,Texas,623,2021-10-05,3.71008166176454,,0.0148219891537844,,3.80387754599633,3.81383558584103,46.7647880030305
18103,Miami,Indiana,623,2021-10-05,6.38832128067955,,0.0022490280938516,,6.44123918828433,6.40406447733651,308.198542497025
13045,Carroll,Georgia,623,2021-10-05,6.82840280923007,,0.0049278081867431,,6.95627905872244,6.86289746653727,140.660341127858
29207,Stoddard,Missouri,623,2021-10-05,6.16481743391918,,-0.0014180246050112,,6.15527341758324,6.1548912616841,-488.811814767113
36051,Livingston,New York,623,2021-10-05,5.98681087842664,,0.0011735115924114,,5.99368415036866,5.99502545957352,590.660701643023
56031,Platte,Wyoming,623,2021-10-05,4.94774620554732,,0.010236526593076,,5.0163661458753,5.01940189169885,67.7131226356398
26011,Arenac,Michigan,623,2021-10-05,5.11628148323124,,0.0185252047503382,,5.25501253817971,5.24595791648361,37.4164383012982
16021,Boundary,Idaho,623,2021-10-05,4.72231809936209,,0.0082612500875841,,4.756126407332,4.78014684997518,83.9034254152017
46071,Jackson,South Dakota,623,2021-10-05,3.6959969218828,,0.0111896572860166,,3.77481889105418,3.77432452288492,61.9453449594162
53055,San Juan,Washington,623,2021-10-05,3.00284974132285,,-0.0050750906321754,,3.02412441998354,2.96732410689762,-136.578286142413
36055,Monroe,New York,623,2021-10-05,8.37500401998822,,0.006291596484798,,8.41484087562897,8.41904519538181,110.170317221512
56035,Sublette,Wyoming,623,2021-10-05,5.4192699769657,,-0.0005951117464889,,5.39081280933594,5.41510419474028,-1164.73449675518
19079,Hamilton,Iowa,623,2021-10-05,5.0706995348389,,0.0059693149416042,,5.10400032488114,5.11248473943013,116.1183799717
29049,Clinton,Missouri,623,2021-10-05,5.14666356691937,,-0.0028992522714441,,5.14972208183521,5.12636880101926,-239.077912393834
29203,Shannon,Missouri,623,2021-10-05,4.14991441337691,,-0.0153426177364444,,4.08408160375723,4.0425160892218,-45.1778954847753
32510,Carson City,Nevada,623,2021-10-05,6.29842389880078,,0.0079835587383541,,6.40397578925628,6.35430880996926,86.8218301231968
49029,Morgan,Utah,623,2021-10-05,4.82028156560504,,0.0062229869020999,,4.88265864384667,4.86384247391974,111.384965365434
53051,Pend Oreille,Washington,623,2021-10-05,5.37461681321743,,0.0014541775258518,,5.40785500173623,5.38479605589839,476.659258059921
39009,Athens,Ohio,623,2021-10-05,6.79602531503883,,-0.0033217589766739,,6.7896922884662,6.77277300220211,-208.668716010814
26015,Barry,Michigan,623,2021-10-05,6.26665824917883,,-0.0014839912332908,,6.26557682055762,6.25627031054579,-467.083069637049
46075,Jones,South Dakota,623,2021-10-05,3.09751496786393,,-0.00582543786339,,3.09508268326995,3.0567369028202,-118.986279969791
20051,Ellis,Kansas,623,2021-10-05,5.37527840768417,,-0.0010932047153889,,5.39006326737125,5.36762597467645,-634.05066846361
40031,Comanche,Oklahoma,623,2021-10-05,7.56616311859531,,0.0084251860937627,,7.63119528889659,7.62513942125165,82.2708451595023
19089,Howard,Iowa,623,2021-10-05,4.41711795448515,,0.0099449289252911,,4.50011973007846,4.48673245696219,69.6985554916523
55015,Calumet,Wisconsin,623,2021-10-05,6.23357003630358,,0.0039705431421404,,6.23401063600343,6.26136383829856,174.572383612558
51550,Chesapeake city,Virginia,623,2021-10-05,7.55358620862865,,0.0029853766419614,,7.59196707801804,7.57448384512238,232.180814580412
48157,Fort Bend,Texas,623,2021-10-05,8.89105951316755,,-0.0136437814254657,,8.8212494346869,8.79555304318929,-50.8031577863165
18107,Montgomery,Indiana,623,2021-10-05,6.19876903439245,,0.0119181430640929,,6.33951204517648,6.2821960358411,58.1589914496216
45055,Kershaw,South Carolina,623,2021-10-05,6.99419506407281,,-0.0078186434455457,,6.95789685817043,6.93946455995399,-88.6531257484098
28137,Tate,Mississippi,623,2021-10-05,5.92540105426809,,-0.0034884619392316,,5.9216181623738,5.90098182069347,-198.697074135949
39001,Adams,Ohio,623,2021-10-05,6.46969318659929,,-0.0053391067908733,,6.44257647486696,6.43231943906318,-129.824558247234
