,Importance (%)
Resumed_visitation_in_state_prisons,0.02868602607468853
Number_Homeless_.2019.,0.02866863835658952
totalTestResultsIncrease,0.02813168250562489
Extended_Benefits_program_deactivated,0.02743959285637774
MP_UNINSUR,0.02689811576918549
Earnings_in_base_period_required_to_receive_a_.300_weekly_benefit_amount_for_UI,0.026762959675364066
Mandate_quarantine_for_those_entering_the_state_from_specific_settings,0.02665058186370838
Reopened_ACA_enrollment_using_a_special_enrollment_period,0.026493780743521843
Weekly_unemployment_insurance_maximum_amount_with_extra_stimulus_.through_July_31._2020._.dollars.,0.026177998796747287
MP_MOBILE,0.025852482699549043
E_POV,0.02566354578231184
Total_Unemployment_Rate_relative_to_prior_year_...,0.02505856808430732
Population_2018,0.024662457229262764
Reopened_casinos,0.024617487299428226
MP_LIMENG,0.02420933611063309
Medicaid_Expansion,0.023879923303746213
Mental_health_professionals_per_100.000_population_in_2019,0.023240515987511184
deathIncrease,0.022806825385248527
MP_NOHSDP,0.022782653167688852
Variant...B.1.351,0.02226448323978235
MP_DISABL,0.022194269196743097
hospitalizedIncrease,0.02186219614050663
Total_Unemployment_Rate_relative_to_second_prior_year_...,0.021763461250176083
Closed_movie_theaters_.x2.,0.02148296892008481
MP_SNGPNT,0.021472685271076267
Weekly_unemployment_insurance_maximum_amount_.dollars.,0.021172648043395262
EP_NOHSDP,0.020584745818828864
EPL_NOHSDP,0.020361382019573993
EP_PCI,0.019934671006900308
EPL_PCI,0.019795067454752988
E_MUNIT,0.019741089784011946
totalTestEncountersViralIncrease,0.018830005636148676
Maximum_Tax_Rate_...,0.018583675233176118
EPL_MINRTY,0.018232026270717926
Began_to_reclose_bars,0.018176981059191192
hospitalized,0.017989077583694002
RPL_THEME3,0.01789725115847923
X2020_Minimum_Wage_for_Tipped_Workers,0.01780831370450631
MP_NOVEH,0.01768696423334373
Late_Fee_Ban_Start,0.01748305883774291
Initially_reopen_restaurants_for_outdoor_dining_only,0.017378383464919916
Variant...P.2,0.017371403625501138
Mar_29_2019_Minimum_Wage,0.017318990462020848
Variant...BA.5,0.017205907798883514
E_UNINSUR,0.016763048497380105
totalTestsPeopleViral,0.016567318209351953
Variant...A.2.5,0.01623658344280776
Reopened_movie_theaters_.x2.,0.015945148958263322
Minimum_total_earnings_required_in_the_base_period_to_qualify_for_UI,0.015741855371341196
Sep_1_2020_Minimum_Wage,0.015295727267946679
Jan_1_2020_Minimum_Wage,0.01518575295373293
First_eviction_initiation_ban_end,0.015138348212577021
Percent_at_risk_for_serious_illness_due_to_COVID,0.01507893744462257
onVentilatorCurrently,0.014946910426175058
January_2020_unemployment_insurance_maximum_duration_.weeks.,0.014590053149895484
RPL_THEME1,0.014423522016381838
MP_PCI,0.0143917075760982
Closed_day_cares,0.013971154438561607
X20.week_Extended_Benefits_program_activated,0.013865183374086161
Non.payment_limitation_end,0.013860262112738343
Variant...B.1.1.519,0.013782840269012088
E_PCI,0.013738688730970046
Taxable_Wage_Amount,0.01292259356459198
totalTestsPeopleViralIncrease,0.012813128648545263
Jul_1_2020_Minimum_Wage,0.01277931994489408
COVID.19_business_liability_protections,0.012375033182347844
EP_MINRTY,0.01212686064603036
negativeIncrease,0.011969456022261358
E_LIMENG,0.011683893677482503
EPL_MOBILE,0.01108385467813256
EP_UNINSUR,0.011068955656755074
Closed_bars_.x2.,0.010800107058420091
SNAP_Waiver_._Pandemic_EBT_during_school_year_2020.2021,0.010794062959723577
COVID.19_hardship_limitation_end,0.01061076731121161
X20.week_Extended_Benefits_program_deactivated,0.010304251841384268
COVID.19_anti.retaliation_rules,0.010263613313015561
EPL_LIMENG,0.009959048938935022
First_eviction_enforcement_ban_end,0.009936573169656668
Oct_1_2019_Minimum_Wage,0.00988457452314009
RPL_THEMES,0.009861879513049811
Reopen_day_cares,0.009811361122954644
Cannabis_dispensaries_considered_essential_business,0.00954872865188686
Date_all_mandated_quarantines_ended,0.009282103624924147
No_legal_enforcement_of_face_mask_mandate,0.009112368433834476
totalTestsAntigen,0.008955710591838858
X2021_Minimum_Wage,0.008763209219800682
SPL_THEME3,0.008660303099603025
First_eviction_hearing_ban_end,0.008082725122460239
Last_date_of_receipt_of_mail.in_ballot_request_for_the_general_election_.by_mail_or_online.,0.00808229006362957
COVID.19_hardship_limitation_start,0.007928962415323008
Stopped_visitation_in_state_prisons_x2,0.007878424555048752
Minimum_total_earnings_required_outside_the_highest_earning_calendar_quarter_of_the_base_period_to_qualify_for_UI,0.00768709219252641
Variant...BA.2.75,0.007675438596490149
totalTestEncountersViral,0.0075640398433261345
July_2020_unemployment_insurance_maximum_duration_.weeks.,0.007498832189364335
Utilities_reconnection_start,0.0073405716294217506
Vaccine_allocation_phase._Additional_Essential_Workers,0.007115510320014577
Minimum_Tax_Rate_...,0.006871984808829331
Jan_1_2019_Minimum_Wage,0.006806406641145563
E_MOBILE,0.006754232120477015
inIcuCumulative,0.006638293974530764
Jul_1_2019_Minimum_Wage,0.006570771274685047
EP_MUNIT,0.006437568316630675
Variant...BA.5.2.6,0.006435588153584469
Minimum_number_of_work_days_missed_by_workers_to_require_data_reporting,0.006078928731173049
MP_UNEMP,0.006004991993377848
Oct_1_2020_Minimum_Wage,0.005937919718785879
