"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
18119,"Owen","Indiana",0.0405460943943518,3.35519234852007,0.0405460943943523,3.35519234852008,"2020-08-04",196,3.20158432775814,0.04235206701394,3.36964012947678,3.36783415685719,NA,NA,NA,NA,NA,NA
18119,"Owen","Indiana",0.0261452801043188,3.28053192859416,0.0261452801043189,3.28053192859416,"2020-08-05",197,3.24147565678544,0.0273639752527956,3.29028148978197,3.2890627946335,-0.014400814290033,-0.0144008142900334,-0.0149880917611444,-1,-1,-1
18119,"Owen","Indiana",0.0128206884290616,3.20008047529642,0.0128206884290618,3.20008047529643,"2020-08-06",198,3.27983652465789,0.017690021780098,3.23903514210471,3.23416580875368,-0.0133245916752572,-0.0133245916752571,-0.0096739534726976,-1,-1,-1
18119,"Owen","Indiana",-0.0128206884290611,3.0077701488605,0,3.09751496786393,"2020-08-07",199,3.32708940950844,-0.0132822291072315,3.00407782343514,3.00453936411331,-0.0256413768581227,-0.0128206884290618,-0.0309722508873295,-1,-1,-1
18119,"Owen","Indiana",0.019169916107723,3.25087429672572,0.0191699161077232,3.25087429672572,"2020-08-08",200,3.36235754834589,0.0201419678181695,3.25865071040929,3.25767865869884,0.0319906045367841,0.0191699161077232,0.033424196925401,1,1,1
18119,"Owen","Indiana",0.0188093319574943,3.26715953963161,0.0188093319574949,3.26715953963161,"2020-08-09",201,3.4106761256167,0.020610549237816,3.28156927787418,3.27976806059386,-0.000360584150228698,-0.000360584150228299,0.000468581419646497,-1,-1,1
18119,"Owen","Indiana",0.018462062839733,3.28319071864702,0.0184620628397343,3.28319071864702,"2020-08-10",202,3.45676723281697,0.0197537102258028,3.29352389773557,3.2922322503495,-0.000347269117761301,-0.000347269117760601,-0.000856839012013198,-1,-1,-1
18119,"Owen","Indiana",0.0476280489892581,3.53498067068295,0.0476280489892571,3.53498067068294,"2020-08-11",203,3.52214999207982,0.0491007359132196,3.54676216607464,3.54528947915068,0.0291659861495251,0.0291659861495228,0.0293470256874168,1,1,1
18119,"Owen","Indiana",0.0398913290273046,3.52071495997658,0.0398913290273017,3.52071495997656,"2020-08-12",204,3.60316593583991,0.0402840410293007,3.52385665599255,3.52346394399054,-0.0077367199619535,-0.0077367199619554,-0.0088166948839189,-1,-1,-1
18119,"Owen","Indiana",0.0383608678724475,3.54836259976502,0.0383608678724463,3.54836259976501,"2020-08-13",205,3.68530163276605,0.0386108637890985,3.55036256709823,3.55011257118158,-0.0015304611548571,-0.0015304611548554,-0.0016731772402022,-1,-1,-1
18119,"Owen","Indiana",0.047252884850546,3.65785960346226,0.047252884850546,3.65785960346226,"2020-08-14",206,3.74782198974739,0.0497141637064135,3.6775498343092,3.67508855545333,0.00889201697809849,0.00889201697809969,0.011103299917315,1,1,1
18119,"Owen","Indiana",0.0352681388374579,3.6092345202081,0.0352681388374578,3.6092345202081,"2020-08-15",207,3.79066214842388,0.0354483422694431,3.61067614766398,3.61049594423199,-0.0119847460130881,-0.0119847460130882,-0.0142658214369704,-1,-1,-1
18119,"Owen","Indiana",0.048318577270808,3.74890616651236,0.0483185772708068,3.74890616651235,"2020-08-16",208,3.82241084673846,0.052168492790444,3.77970549066944,3.77585557514981,0.0130504384333501,0.013050438433349,0.0167201505210009,1,1,1
18119,"Owen","Indiana",0.0460911072002671,3.77940498321884,0.0460911072002661,3.77940498321883,"2020-08-17",209,3.85318250540521,0.0489148513892816,3.80199493673095,3.79917119254194,-0.0022274700705409,-0.0022274700705407,-0.0032536414011624,-1,-1,-1
18119,"Owen","Indiana",0.0653827592628539,3.9798293069198,0.0653827592628531,3.97982930691979,"2020-08-18",210,3.86523084392139,0.0651198953735411,3.9777263958053,3.97798925969461,0.0192916520625868,0.019291652062587,0.0162050439842595,1,1,1
18119,"Owen","Indiana",0.081015943760087,4.17027754216052,0.0810159437600873,4.17027754216052,"2020-08-19",211,3.86822038276975,0.0715154932589135,4.09427393815113,4.1037743886523,0.0156331844972331,0.0156331844972342,0.0063955978853724,1,1,1
18119,"Owen","Indiana",0.0821356969261406,4.26025151124904,0.0821356969261471,4.26025151124908,"2020-08-20",212,3.87713574642771,0.0783369632734754,4.22986164202771,4.23366037568038,0.0011197531660536,0.00111975316605979,0.0068214700145619,1,1,1
18119,"Owen","Indiana",0.0625203569813332,4.18546448861672,0.0625203569813326,4.18546448861671,"2020-08-21",213,3.90052862600241,0.0591906636918355,4.15882694230073,4.16215663559024,-0.0196153399448074,-0.0196153399448145,-0.0191462995816399,-1,-1,-1
18119,"Owen","Indiana",0.0428401586764917,4.09054325915932,0.0428401586764928,4.09054325915933,"2020-08-22",214,3.93741223943297,0.0427617741997318,4.08991618334524,4.089994567822,-0.0196801983048415,-0.0196801983048398,-0.0164288894921037,-1,-1,-1
18119,"Owen","Indiana",0.0317486983145791,4.04465173494051,0.0317486983145798,4.04465173494052,"2020-08-23",215,3.96217278911362,0.0330589628182745,4.05513385097008,4.05382358646638,-0.0110914603619126,-0.011091460361913,-0.0097028113814573,-1,-1,-1
18119,"Owen","Indiana",0.0307716586667535,4.06858411607249,0.0307716586667532,4.06858411607248,"2020-08-24",216,3.9863350383927,0.0323306828773829,4.08105630975752,4.07949728554689,-0.000977039647825598,-0.000977039647826597,-0.000728279940891599,-1,-1,-1
18119,"Owen","Indiana",0.0120483385161752,3.94956921353461,0.0120483385161751,3.94956921353461,"2020-08-25",217,4.00733318523247,0.0138322668975227,3.96384064058539,3.96205671220405,-0.0187233201505783,-0.0187233201505781,-0.0184984159798602,-1,-1,-1
18119,"Owen","Indiana",0.00298953884836814,3.88914715470833,0.00298953884836717,3.88914715470832,"2020-08-26",218,4.01509519056796,0.00909873866630679,3.93802075325184,3.9319115534339,-0.00905879966780706,-0.00905879966780793,-0.00473352823121591,-1,-1,-1
18119,"Owen","Indiana",0.0089153636579516,3.93954329203337,0.00891536365795176,3.93954329203337,"2020-08-27",219,4.01509519056796,0.0114698752380718,3.95997938467432,3.95742487309421,0.00592582480958346,0.00592582480958459,0.00237113657176501,1,1,1
18119,"Owen","Indiana",0.023392879574705,4.06427878302534,0.0233928795747045,4.06427878302534,"2020-08-28",220,4.00473240353241,0.0228683610180926,4.06008263457245,4.06060715312906,0.0144775159167534,0.0144775159167527,0.0113984857800208,1,1,1
18119,"Owen","Indiana",0.0368836134305558,4.19559753344686,0.0368836134305557,4.19559753344686,"2020-08-29",221,3.99688922607139,0.0335597666430014,4.16900675914642,4.17233060593398,0.0134907338558508,0.0134907338558512,0.0106914056249088,1,1,1
18119,"Owen","Indiana",0.024760549680652,4.13549663687818,0.0247605496806522,4.13549663687818,"2020-08-30",222,3.99162605602711,0.0240267804625128,4.12962648313307,4.13036025235121,-0.0121230637499038,-0.0121230637499035,-0.0095329861804886,-1,-1,-1
18119,"Owen","Indiana",0.0241622492790806,4.15547078334626,0.0241622492790801,4.15547078334626,"2020-08-31",223,3.98367899433458,0.0236564062743399,4.15142403930834,4.15192988231308,-0.000598300401571401,-0.000598300401572101,-0.000370374188172901,-1,-1,-1
18119,"Owen","Indiana",0.0209981468397717,4.15432021311087,0.0209981468397729,4.15432021311088,"2020-09-01",224,3.9810158769151,0.0225208232486728,4.16650162438208,4.16497894797318,-0.0031641024393089,-0.0031641024393072,-0.0011355830256671,-1,-1,-1
18119,"Owen","Indiana",0.00776200533548765,4.06942922791637,0.0077620053354881,4.06942922791638,"2020-09-02",225,3.97834564835922,0.0102104404973624,4.08901670921137,4.0865682740495,-0.013236141504284,-0.0132361415042848,-0.0123103827513104,-1,-1,-1
18119,"Owen","Indiana",-1.25607396694706e-15,4.01509519056795,0,4.01509519056796,"2020-09-03",226,3.96217278911362,0.00473384740090077,4.05296596977517,4.04823212237427,-0.00776200533548891,-0.0077620053354881,-0.00547659309646163,-1,-1,-1
18119,"Owen","Indiana",-0.0103627870355452,3.9321928942836,0,4.00473240353241,"2020-09-04",227,3.93741223943297,-0.0115148197538299,3.92297663253732,3.9241286652556,-0.0103627870355439,0,-0.0162486671547307,-1,0,-1
18119,"Owen","Indiana",-0.00784317746102655,3.9419869838442,0,3.99688922607139,"2020-09-05",228,3.89473150831808,-0.0101077784986681,3.92387017554307,3.92613477658071,0.00251960957451865,0,0.0014070412551618,1,0,1
18119,"Owen","Indiana",-0.00526317004427644,3.95478386571718,0,3.99162605602711,"2020-09-06",229,3.85620822632175,-0.00957616348860732,3.92027991816253,3.92459291160686,0.00258000741675011,0,0.00053161501006078,1,0,1
