"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
17135,"Montgomery","Illinois",0.0275879565188301,3.23763813335523,0.0275879565188304,3.23763813335524,"2020-05-06",106,3.04452243772342,0.0300261939571422,3.25714403286173,3.25470579542342,NA,NA,NA,NA,NA,NA
17135,"Montgomery","Illinois",0.020202707317518,3.20614409626357,0.0202027073175182,3.20614409626357,"2020-05-07",107,3.05803615689015,0.0283223855144474,3.271101521839,3.26298184364207,-0.0073852492013121,-0.0073852492013122,-0.0017038084426948,-1,-1,-1
17135,"Montgomery","Illinois",-0.00668898815079351,3.01121323983459,0,3.05803615689015,"2020-05-08",108,3.09104245335832,-0.00843165929707275,2.99727187066436,2.99901454181064,-0.0268916954683115,-0.0202027073175182,-0.0367540448115201,-1,-1,-1
17135,"Montgomery","Illinois",-0.0135137191667229,2.94992640355636,0,3.04452243772342,"2020-05-09",109,3.11668488397165,-0.0132975487870162,2.95165576659402,2.95143959621431,-0.00682473101592939,0,-0.00486588948994345,-1,0,-1
17135,"Montgomery","Illinois",-0.00682596507039857,2.98991471716023,0,3.03769647265303,"2020-05-10",110,3.12299405316492,-0.0107361247779595,2.95863343949974,2.96254359920731,0.00668775409632433,0,0.0025614240090567,1,0,1
17135,"Montgomery","Illinois",0.00682596507039718,3.0923041932162,0.0068259650703979,3.09230419321621,"2020-05-11",111,3.11668488397165,0.0167945305752064,3.17205271725468,3.16208415174986,0.0136519301407957,0.0068259650703979,0.0275306553531659,1,1,1
17135,"Montgomery","Illinois",-0.00682596507039857,2.98991471716023,0,3.03769647265303,"2020-05-12",112,3.09751496786393,-0.0114962035957151,2.9525528089577,2.95722304748302,-0.0136519301407957,-0.0068259650703979,-0.0282907341709215,-1,-1,-1
17135,"Montgomery","Illinois",0.00682596507039857,3.09230419321621,0.0068259650703979,3.09230419321621,"2020-05-13",113,3.0513021247088,0.0173099808180114,3.17617631919712,3.1656923034495,0.0136519301407971,0.0068259650703979,0.0288061844137265,1,1,1
17135,"Montgomery","Illinois",0.183403222664707,4.55826823467596,0.183403222664694,4.55826823467587,"2020-07-20",181,4.06535702534885,0.0773907175281395,3.71016819358344,3.81618069871999,0.176577257594308,0.176577257594296,0.0600807367101281,1,1,1
17135,"Montgomery","Illinois",0.16871590473819,4.62417291392852,0.168715904738177,4.62417291392843,"2020-07-21",182,4.1061790198691,0.088931191454627,3.98589520766003,4.06567992094358,-0.014687317926517,-0.014687317926517,0.0115404739264875,-1,-1,1
