Vnames,Importance,Importance (%)
Stopped_personal_visitation_in_state_prisons,0.08968292682926829,8.96829268292683
t0.lm,0.08847560975609754,8.847560975609754
r.lm,0.0884298780487805,8.84298780487805
cutoff,0.06491158536585366,6.491158536585366
State_of_emergency_issued,0.05996951219512195,5.996951219512195
Closed_restaurants_except_take_out,0.051548780487804875,5.154878048780487
SNAP_Waiver_._Emergency_Allotments_to_Current_SNAP_Households,0.051362804878048784,5.1362804878048784
Date_closed_K.12_public_schools,0.04918597560975609,4.918597560975609
Closed_other_non.essential_businesses,0.035923780487804875,3.5923780487804877
Closed_Bars,0.03521646341463415,3.521646341463415
Modify_Medicaid_requirements_with_1135_waivers_.date_of_CMS_approval.,0.03349390243902439,3.3493902439024392
Closed_gyms,0.029600609756097556,2.9600609756097556
Closed_movie_theaters,0.027503048780487805,2.7503048780487807
Allow.expand_Medicaid_telehealth_coverage,0.02510975609756097,2.510975609756097
Began_to_reopen_businesses,0.021682926829268295,2.1682926829268294
Reopened_hair_salons.barber_shops,0.02013109756097561,2.013109756097561
Reopen_restaurants,0.01900609756097561,1.900609756097561
Date_adults_ages_80._became_eligible_for_COVID.19_vaccination,0.017920731707317072,1.7920731707317072
Date_adults_ages_75._became_eligible_for_COVID.19_vaccination,0.016737804878048778,1.6737804878048779
SNAP_Waiver_._Pandemic_EBT_during_school_year_2019.2020,0.015454268292682927,1.5454268292682927
Extended_Benefits_program_activated,0.009259146341463414,0.9259146341463415
Allowed_restaurants_to_sell_takeout_alcohol,0.008774390243902438,0.8774390243902438
Date_adults_ages_70._became_eligible_for_COVID.19_vaccination,0.008521341463414633,0.8521341463414633
Reopened_gyms,0.007759146341463414,0.7759146341463413
metrics.vaccinationsInitiatedRatio,0.0076859756097560974,0.7685975609756097
End.relax_stay_at_home.shelter_in_place,0.0073018292682926825,0.7301829268292682
Allow_audio.only_telehealth,0.007076219512195121,0.7076219512195121
Reopened_other_non.essential_retail,0.0057865853658536585,0.5786585365853658
positive,0.00574390243902439,0.574390243902439
Suspended_elective_medical_procedures,0.004746951219512195,0.4746951219512195
First_overall_eviction_moratorium_start,0.0046310975609756095,0.46310975609756094
Allowed_restaurants_to_deliver_alcohol,0.004475609756097561,0.44756097560975605
Reopened_religious_gatherings,0.004344512195121952,0.4344512195121952
Waived_one_week_waiting_period_for_unemployment_insurance,0.00424390243902439,0.42439024390243896
Reopen_bars,0.0037469512195121954,0.37469512195121957
Utilities_shutoff_moratorium_start,0.0035945121951219514,0.35945121951219516
metrics.testPositivityRatio,0.003320121951219512,0.33201219512195124
death,0.003219512195121951,0.32195121951219513
Stay_at_home._shelter_in_place,0.002536585365853658,0.2536585365853658
Face_mask_mandate_for_employees_of_public.facing_businesses,0.002167682926829268,0.2167682926829268
Attempted_to_prevent_local_governments_from_implementing_face_mask_orders,0.0017560975609756094,0.17560975609756094
hospitalizedCurrently,0.0017560975609756094,0.17560975609756094
totalTestResults,0.0017469512195121952,0.17469512195121953
positiveCasesViral,0.001646341463414634,0.16463414634146342
positiveTestsViral,0.0014847560975609756,0.14847560975609755
hospitalized,0.0014329268292682927,0.14329268292682926
Square_Miles,0.0013841463414634146,0.13841463414634145
metrics.vaccinationsCompletedRatio,0.0013628048780487806,0.13628048780487806
log_rolled_cases.y,0.0013567073170731706,0.13567073170731705
Date_vaccine_allocation_plan_last_updated,0.001347560975609756,0.1347560975609756
Date_adults_ages_65._became_eligible_for_COVID.19_vaccination,0.0013353658536585367,0.13353658536585367
negative,0.0012652439024390244,0.12652439024390244
recovered,0.0012164634146341463,0.12164634146341463
positiveIncrease,0.0011646341463414634,0.11646341463414633
SNAP_Waiver_._Temporary_Suspension_of_Claims_Collection,0.0011341463414634146,0.11341463414634145
totalTestsAntibody,0.0010518292682926828,0.10518292682926828
Date_banned_visitors_to_nursing_homes,0.0010121951219512195,0.10121951219512196
Stay_at_home_order._issued_but_did_not_specifically_restrict_movement_of_the_general_public,9.847560975609756e-4,0.09847560975609757
Reopened_movie_theaters,9.115853658536585e-4,0.09115853658536585
LON,8.445121951219513e-4,0.08445121951219513
positiveTestsAntibody,8.292682926829268e-4,0.08292682926829269
