Vnames,Importance,Importance (%)
r.lm,0.10517073170731707,10.517073170731708
metrics.testPositivityRatio,0.0848109756097561,8.481097560975611
t0.lm,0.07671646341463415,7.671646341463415
State_of_emergency_issued,0.0746920731707317,7.46920731707317
Variant...BA.1.1,0.05581707317073171,5.581707317073171
Date_closed_K.12_public_schools,0.052067073170731705,5.20670731707317
cutoff,0.04555487804878048,4.555487804878048
Stopped_personal_visitation_in_state_prisons,0.03551524390243902,3.551524390243902
Date_adults_ages_30._became_eligible_for_COVID.19_vaccination,0.029414634146341465,2.9414634146341467
Closed_Bars,0.027624999999999993,2.7624999999999993
Closed_gyms,0.026204268292682922,2.6204268292682924
Date_adults_ages_80._became_eligible_for_COVID.19_vaccination,0.02417378048780488,2.417378048780488
Date_general_public_became_eligible_for_COVID.19_vaccination,0.023545731707317073,2.3545731707317072
Modify_Medicaid_requirements_with_1135_waivers_.date_of_CMS_approval.,0.02297560975609756,2.297560975609756
SNAP_Waiver_._Emergency_Allotments_to_Current_SNAP_Households,0.020887195121951217,2.0887195121951216
Date_adults_ages_40._became_eligible_for_COVID.19_vaccination,0.020152439024390244,2.0152439024390243
Closed_other_non.essential_businesses,0.019753048780487805,1.9753048780487805
Date_adults_ages_75._became_eligible_for_COVID.19_vaccination,0.01760060975609756,1.7600609756097558
Closed_restaurants_except_take_out,0.016259146341463412,1.625914634146341
Date_adults_ages_60._became_eligible_for_COVID.19_vaccination,0.015246951219512195,1.5246951219512195
Date_adults_ages_70._became_eligible_for_COVID.19_vaccination,0.013167682926829266,1.3167682926829265
Closed_movie_theaters,0.01279268292682927,1.2792682926829269
Allow.expand_Medicaid_telehealth_coverage,0.01214939024390244,1.214939024390244
Variant...B.1.1.529,0.011579268292682925,1.1579268292682925
Date_adults_ages_50._became_eligible_for_COVID.19_vaccination,0.011515243902439022,1.1515243902439023
Date_adults_ages_55._became_eligible_for_COVID.19_vaccination,0.009689024390243904,0.9689024390243904
Variant...B.1.617.2,0.009079268292682928,0.9079268292682928
Variant...B.1.621,0.008673780487804877,0.8673780487804877
Variant...B.1.621.1,0.007719512195121951,0.7719512195121951
Date_vaccine_allocation_plan_last_updated,0.007259146341463413,0.7259146341463413
Variant...B.1.1.7,0.006387195121951218,0.6387195121951218
Variant...P.1,0.00626829268292683,0.6268292682926829
Reopen_restaurants,0.00574390243902439,0.574390243902439
Variant...BA.2,0.00574390243902439,0.574390243902439
Variant...Other,0.005353658536585365,0.5353658536585365
Reopened_other_non.essential_retail,0.004935975609756098,0.49359756097560975
Variant...AY.3,0.00488109756097561,0.48810975609756097
Extended_Benefits_program_activated,0.003951219512195122,0.3951219512195122
Date_adults_ages_45._became_eligible_for_COVID.19_vaccination,0.003929878048780488,0.3929878048780488
First_eviction_enforcement_ban_start,0.0035396341463414635,0.3539634146341464
Variant...BA.2.12.1,0.0032957317073170726,0.3295731707317073
Allow_audio.only_telehealth,0.002628048780487805,0.2628048780487805
Variant...BA.5,0.002615853658536585,0.2615853658536585
Variant...B.1.526,0.002539634146341463,0.2539634146341463
Began_to_reopen_businesses,0.0019268292682926827,0.19268292682926827
SNAP_Waiver_._Pandemic_EBT_during_school_year_2019.2020,0.0017865853658536584,0.17865853658536585
Allowed_restaurants_to_sell_takeout_alcohol,0.0016768292682926827,0.16768292682926828
Variant...B.1.427,0.001503048780487805,0.15030487804878048
Allowed_restaurants_to_deliver_alcohol,0.0014725609756097559,0.1472560975609756
Variant...BA.4,0.0014298780487804878,0.14298780487804877
Date_K.12_school_employees_became_eligible_for_COVID.19_vaccination,0.0011676829268292682,0.11676829268292682
Date_incarcerated_people_became_eligible_for_COVID.19_vaccination,0.001146341463414634,0.1146341463414634
Stay_at_home._shelter_in_place,9.725609756097561e-4,0.09725609756097561
Reopened_hair_salons.barber_shops,9.115853658536585e-4,0.09115853658536585
Date_grocery_store_workers_became_eligible_for_COVID.19_vaccination,8.963414634146341e-4,0.08963414634146341
Reopened_gyms,8.536585365853659e-4,0.08536585365853659
Date_adults_ages_65._became_eligible_for_COVID.19_vaccination,8.140243902439023e-4,0.08140243902439023
First_overall_eviction_moratorium_start,7.134146341463414e-4,0.07134146341463414
Stopped_participating_in_pandemic.related_federal_unemployment_benefit_programs,6.646341463414634e-4,0.06646341463414633
hhs_region,6.615853658536585e-4,0.06615853658536584
Variant...B.1,6.25e-4,0.0625
Date_banned_visitors_to_nursing_homes,6.189024390243903e-4,0.061890243902439024
log_rolled_cases.y,6.097560975609755e-4,0.06097560975609755
LAT,5.945121951219512e-4,0.05945121951219512
Extended_Benefits_program_deactivated,5.396341463414634e-4,0.053963414634146334
Waived_one_week_waiting_period_for_unemployment_insurance,5.121951219512194e-4,0.05121951219512194
Maximum_Tax_Rate_...,4.969512195121951e-4,0.049695121951219515
Variant...B.1.429,4.725609756097561e-4,0.04725609756097561
Reopen_bars,4.573170731707317e-4,0.04573170731707317
Ended_face_mask_mandate,4.3902439024390245e-4,0.04390243902439025
Variant...B.1.626,4.298780487804878e-4,0.042987804878048784
LON,4.146341463414634e-4,0.041463414634146344
All.cause_deaths_2018,4.146341463414634e-4,0.041463414634146344
Variant...BA.4.6,4.024390243902439e-4,0.04024390243902439
MP_NOHSDP,3.8719512195121953e-4,0.03871951219512195
Stopped_legal_visitation_in_state_prisons,3.8719512195121953e-4,0.03871951219512195
Total_Unemployment_Rate_at_Extended_Benefits_program_shutoff,3.8719512195121953e-4,0.03871951219512195
Report_Indigenous_COVID.19_testing,3.7499999999999995e-4,0.0375
Variant...A.2.5,3.597560975609756e-4,0.03597560975609756
First_eviction_hearing_ban_start,3.47560975609756e-4,0.034756097560975606
X2021_Minimum_Wage,3.47560975609756e-4,0.034756097560975606
