Vnames,Importance,Importance (%)
r.lm,0.10558536585365855,10.558536585365855
t0.lm,0.09553353658536586,9.553353658536585
Date_closed_K.12_public_schools,0.07381402439024391,7.3814024390243915
State_of_emergency_issued,0.06801219512195122,6.801219512195122
Stopped_personal_visitation_in_state_prisons,0.06420426829268293,6.420426829268293
cutoff,0.05075914634146341,5.075914634146341
Modify_Medicaid_requirements_with_1135_waivers_.date_of_CMS_approval.,0.04758231707317073,4.758231707317073
Closed_restaurants_except_take_out,0.047533536585365854,4.753353658536586
SNAP_Waiver_._Emergency_Allotments_to_Current_SNAP_Households,0.04171646341463414,4.171646341463414
Allow.expand_Medicaid_telehealth_coverage,0.0403109756097561,4.03109756097561
Closed_other_non.essential_businesses,0.04003048780487805,4.003048780487805
Closed_movie_theaters,0.034375,3.4375000000000004
SNAP_Waiver_._Pandemic_EBT_during_school_year_2019.2020,0.02982926829268293,2.982926829268293
Closed_gyms,0.02893292682926829,2.893292682926829
Closed_Bars,0.02505792682926829,2.505792682926829
hospitalizedCurrently,0.016003048780487805,1.6003048780487805
metrics.testPositivityRatio,0.01466768292682927,1.4667682926829269
Allowed_restaurants_to_sell_takeout_alcohol,0.012862804878048778,1.286280487804878
Allow_audio.only_telehealth,0.011978658536585366,1.1978658536585367
totalTestResults,0.009292682926829268,0.9292682926829268
Waived_one_week_waiting_period_for_unemployment_insurance,0.008725609756097562,0.8725609756097562
totalTestsViral,0.00871951219512195,0.871951219512195
positiveCasesViral,0.00799390243902439,0.7993902439024391
Face_mask_mandate_for_employees_of_public.facing_businesses,0.005911585365853659,0.5911585365853659
Reopened_other_non.essential_retail,0.005646341463414634,0.5646341463414634
Extended_Benefits_program_activated,0.005161585365853659,0.5161585365853659
Reopened_religious_gatherings,0.005033536585365854,0.5033536585365854
Suspended_elective_medical_procedures,0.005021341463414634,0.5021341463414635
death,0.004740853658536585,0.4740853658536585
positiveTestsViral,0.004106707317073171,0.4106707317073171
deathConfirmed,0.004103658536585366,0.4103658536585366
Stopped_legal_visitation_in_state_prisons,0.0040670731707317075,0.40670731707317076
positiveIncrease,0.00399390243902439,0.39939024390243905
Reopened_hair_salons.barber_shops,0.003984756097560976,0.3984756097560976
Began_to_reopen_businesses,0.003905487804878049,0.39054878048780495
CARES_Act_pleading_start,0.0038871951219512195,0.38871951219512196
Resumed_elective_medical_procedures,0.0032317073170731706,0.3231707317073171
Date_banned_visitors_to_nursing_homes,0.0025792682926829265,0.25792682926829263
Stay_at_home._shelter_in_place,0.0025243902439024387,0.25243902439024385
positive,0.002240853658536585,0.2240853658536585
log_rolled_cases.y,0.001963414634146341,0.1963414634146341
Reopen_restaurants,0.001847560975609756,0.1847560975609756
First_overall_eviction_moratorium_start,0.0017317073170731705,0.17317073170731706
First_eviction_hearing_ban_start,0.0017164634146341461,0.17164634146341462
Began_to_reclose_bars,0.0016646341463414634,0.16646341463414635
