Top p Percentile,Top n Counties,CDPHE PPV,TLGRF PPV,CDPHE F1,TLGRF F1
10,5,0.3333333333333333,1.0,0.3636363636363636,1.0
20,11,0.35714285714285715,0.6973684210526315,0.20202020202020204,0.7210884353741497
50,29,0.2184873949579832,0.6267605633802817,0.20233463035019453,0.6357142857142858
100,58,0.1813186813186813,0.5879120879120879,0.1813186813186813,0.5879120879120879
